,sci_name,c_name,dist,reprod,cons_status,length,weight,coords,avg_age,habitat
0,Aldabrachelys gigantea,"['Aldabra Giant Tortoise [gigantea]', 'Daudin’s Giant Tortoise [daudinii]', 'Seychelles Giant Tortoise [hololissa]', 'Arnold’s Giant Tortoise [arnoldi] ']","Aldabra Atoll (Indian Ocean, Grande Terre, Picard, Malabar), introduced on Curieuse and Fregate (granitic Seychelles). Small groups exist on Cerf, Moyenne, Silhouette, Cousin, Cousine, Bird and Denis in the central Seychelles, on several of the Amirantes, and on Changu Island near Zanzibar (Tanzania).

Type locality: Aldabra [same for Testudo elephantina DUMÉRIL & BIBRON 1835]

gigantea: Aldabra Atoll

arnoldi: Granitic Seychelles (extinct; see GERLACH & CANNING 1998 for a discussion)

daudini: Granitic Seychelles (extinct since ~1850)

hololissa: Granitic Seychelles (but see GERLACH & CANNING 1998 for a discussion).  ",oviparous ,VU,48,550,"-9.421221183581558, 46.342061469573444",150,island
1,Astrochelys radiata,"['Radiated Tortoise', 'G: Strahlenschildkröte ']","Madagascar (Antandroy Territory in the south between the Mandrare and Menarandra waterways). Endemic.

Type locality: ""Madagascar""; restricted by Bour 1978 to ""Soalara (Baie de Saint-Augustin) sud-ouest de Madagascar"".  ",oviparous ,CR,16,35,"-24.32689093264572, 46.32172099679379",80,island
2,Astrochelys yniphora,"['Madagascan (Plowshare or Ploughshare) Tortoise', 'G: Madagassische Schnabelbrustschildkröte ']","NW Madagascar (small area about Baly Bay)

Type locality: “...la grande Comore. . ."" (in error); designated by Bour 1978 as ""cap d'Amparafaka (Baie de Baly), nord-ouest de Madagascar"".  ",oviparous ,CR,16,21,"-16.040134586317308, 45.20919110430246",75,island
3,Centrochelys sulcata,"['Sahel Tortoise, African Spurred Tortoise', 'G: Spornschildkröte ']","Ethiopia, Eritrea, Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Chad, Niger, Mali, S Mauritania, Senegal, Central African Republic (range generally lies along the southern perimeter of the Sahara Desert), Cameroon

Type locality: ""India orientali"" (in error); incorrectly listed as ""Westindien"" by Wermuth and Mertens 1961:224, and Wermuth and Mertens 1977:90.  ",oviparous ,EN,32,216,"16.7602766950953, 14.680403667958894",75,savanna
4,Chelonoidis abingdonii,"['Abingdon Island Giant Tortoise', 'ephippium: Duncan Island Giant Tortoise, Saddleback giant tortoise ']","Ecuador: Galapagos (Abingdon = Pinta Island)

Type locality: Abingdon Island [= Pinta]

ephippium: Galapagos (Duncan = Pinzon); Type locality: “Chalres Island” (in error, fide Iverson 1992)  ",oviparous ,EX,48,700,"0.5902951227208093, -90.76138300945183",120,island
5,Chelonoidis becki,"['Volcan Wolf Giant Tortoise, Cape Berkeley Giant Tortoise ']","Ecuador: Galapagos (N Albemarle = Isabela Island)

Type locality: Cape Berkeley, northern point of Albemarle Island [= Isabela].  ",oviparous ,VU,40,NA,"-0.48230782603813643, -91.12047706633965",120,island
6,Chelonoidis carbonarius,"['Red-footed Tortoise', 'G: Köhlerschildkröte', 'Portuguese: Jaboti, Jabuti, Jabuti-Piranga, Jabuti-Vermelho ']","Nicaragua (Great Corn Island and mainland locations), SE Panama, Colombia (west of the Andes in Choco), east of the Andes in E Colombia, Venezuela, Guyana, French Guiana, Suriname, E Brazil (south to Rio de Janeiro; seems absent from almost all but the eastern parts of the Amazon Basin: Rio Grande do Sul, Goias, Espírito Santo, Ceará, Bahia etc.), Peru, E Bolivia, Paraguay, N Argentina, Trinidad, Virgin Islands (St. Croix); introduced to a number of Carribean Islands (incl. Providencia, Grenadine islands, St. Kitts)

Type locality: ""Habitat sub cognomine ""Capitary"" (?) ad flumen Amazonum,"" South America (cited in KING & BURKE 1989).  ","oviparous C carbonarius exhibits a temperature-dependent sex determination (TSD)mechanism with females produced at, or above, 29°C ",NE,13,20,"-1.2346808223236156, -62.205136578833056",90,tropical forest
7,Chelonoidis chathamensis,['Chatham Island Giant Tortoise '],"Ecuador: Galapagos (NE Chatham = San Cristobal)

Type locality: Chatham Island [San Cristobál].

wallacei: Galapagos (Jervis)  ",oviparous ,EN,37,NA,"-0.8242357936615471, -89.43225410256771",120,island
8,Chelonoidis chilensis,"['Argentine tortoise', 'G: Argentinische Landschildkröte ']","SW Bolivia, W Paraguay,
NW Argentina (Rio Negro, southward to about 40° S in N Patagonia)

Type locality: Mendoza, Argentina

donosobarrosi: Argentina (Río Negro); Type locality: San Antonio, Río Negro, Argentina.

petersi: Argentina (Santiago del Estero, La Rioja), Paraguay (S Chaco); Type locality: Kishka, La Banda, Santiago del Estero, Argentina.  ",oviparous ,VU,10,NA,"-33.00009554039881, -63.13224281754871",20,deciduous forest
9,Chelonoidis darwini,['James Island Giant Tortoise '],"Ecuador: Galapagos (James = San Salvador Island)

Type locality: James Island [San Salvador, Santiago].  ",oviparous ,CR,40,NA,"-0.2540572453579455, -90.71791123288111",120,island
