Artists,Album,Date,Year,Score,Tags,Genres
john frusciante,PBX FUNICIULAR INTAGLIO ZONE,16-Oct-12,2012,2,"['record collection', 'experimental rock, art pop, lo-fi, breakbeat electronica, drum and bass']","pop,electronic,rock,experimental"
between the buried and me,THE PARALLAX II: FUTURE SEQUENCE,19-Oct-12,2012,4,"['metal blade', 'progressive metal, progressive rock, metalcore']","rock,metal"
daphni,JIAOLONG,19-Oct-12,2012,6,"['merge records', 'tech house, tribal house']",house
blu & exile,GIVE ME MY FLOWERS WHILE I CAN STILL SMELL THEM,20-Oct-12,2012,7,"['dirty science', 'west coast hip hop, boom bap, conscious hip hop']",hip hop
kendrick lamar,"GOOD KID, M.A.A.D. CITY",22-Oct-12,2012,9,"['interscope', 'west coast hip hop, conscious hip hop']",hip hop
karriem riggins,ALONE TOGETHER,23-Oct-12,2012,8,"['stonesthrow', 'instrumental hip hop, jazz, beatmusic']","hip hop,jazz"
3:33,IN THE MIDDLE OF INFINITY,24-Oct-12,2012,6,"['parallel thought', 'beatmusic', 'instrumental hip hop', 'dark ambient', 'drone']","hip hop,ambient"
pig destroyer,BOOK BURNER,24-Oct-12,2012,6,"['relapse', 'grindcore, metal, mosh riffs and mosh riffs and mosh riffs']",metal
hoax,3RD EP,26-Oct-12,2012,6,"['painkiller', 'hardcore punk']",punk
chelsea wolfe,UNKNOWN ROOMS: A COLLECTION OF ACOUSTIC SONGS,26-Oct-12,2012,7,"['sergeant house', 'neofolk, alternative singer-songwriter, ethereal wave']","house,singer-songwriter,folk"
andy stott,LUXURY PROBLEMS,29-Oct-12,2012,7,"['modern love', 'dub techno, minimal techno, ambient techno, there are elements of drone spattered throughout this album, too...']","techno,ambient"
mac demarco,2,30-Oct-12,2012,6,"['captured tracks', 'indie pop, indie rock, lo-fi, jangle pop']","pop,rock"
the bad plus,MADE POSSIBLE,31-Oct-12,2012,8,"['eone music', 'jazz fusion, avant-garde jazz, jazz']",jazz
the soft moon,ZEROS,1-Nov-12,2012,4,"['captured tracks', 'gothic rock, post-punk, synth punk, cold wave']","rock,punk"
black moth super rainbow,COBRA JUICY,1-Nov-12,2012,5,"['rad cult', 'neo-psychedelia, indie electronic']",electronic
pile,DRIPPING,2-Nov-12,2012,8,"['exploding in sound records', 'post-hardcore, indie rock']",rock
neurosis,HONOR FOUND IN DECAY,5-Nov-12,2012,7,"['neurot', 'atmospheric sludge metal, post rock, a bit of folk influence as well']","rock,metal,folk"
titus andronicus,LOCAL BUSINESS,7-Nov-12,2012,6,"['xl', 'indie rock, punk, folk punk, pop punk, the boss']","pop,rock,punk,folk"
the secret,AGNUS DEI,8-Nov-12,2012,5,"['southern lord', 'hardcore punk, crust punk, sludge metal, metalcore, black metal']","punk,metal"
bat for lashes,THE HAUNTED MAN,8-Nov-12,2012,7,"['parlophone', 'art pop, synth pop, indie pop, dream pop, chamber pop']",pop
brian eno,LUX,12-Nov-12,2012,6,"['warp', 'ambient, electronic']","electronic,ambient"
crystal castles,III,13-Nov-12,2012,4,"['fiction & casablanca & universal rebpublic', 'electronic, electropop, dream pop, darkened dancepop']","pop,electronic,dance"
jessica pratt,JESSICA PRATT,14-Nov-12,2012,7,"['birth records', 'singer-songwriter, contemporary folk']","singer-songwriter,folk"
ratking,WIKI93,15-Nov-12,2012,5,"['xl recordings', 'alternative hip hop, hardcore hip hop']",hip hop
deftones,KOI NO YOKAN,15-Nov-12,2012,6,"['reprise', 'alternative metal, shoegaze, alternative rock']","rock,metal"
vessel,ORDER OF NOISE,16-Nov-12,2012,7,"['triangle records', 'minimal techno, dub, idm, ambient']","techno,ambient"
"action bronson<,>the alchemist",RARE CHEANDELIERS,16-Nov-12,2012,8,"['vice', 'hardcore hip hop, east coast hip hop']",hip hop
goat,WORLD MUSIC,19-Nov-12,2012,5,"['rocket', 'psychedelic rock, afrobeat, garage rock']","rock,psychedelic"
holly herndon,MOVEMENT,20-Nov-12,2012,7,"['rvng intl.', 'experimental, techno, house']","house,techno,experimental"
captain murphy,DUALITY,21-Nov-12,2012,7,"['self-released', 'experimental hip hop']","hip hop,experimental"
the evens,THE ODDS,22-Nov-12,2012,8,"['dischord records', 'indie, folk punk, ""d.c. sound"", post-post-hardcore']","punk,folk"
tim hecker and daniel lopatin,INSTRUMENTAL TOURIST,25-Nov-12,2012,5,"['software', 'ambient, drone, experimental, eai, noise, glitch, progressive electronic']","electronic,ambient,experimental"
angel olsen,HALF WAY HOME,27-Nov-12,2012,7,"['bathetic', 'singer-songwriter, indie folk, contemporary folk, alt-country']","singer-songwriter,folk,country"
macintosh plus,FLORAL SHOPPE,28-Nov-12,2012,4,"['beer on the rug', 'plunderphonics, experimental, ambient, synth funk, chopped & screwed']","funk,ambient,experimental"
heems,WILD WATER KINGDOM,29-Nov-12,2012,5,"['greedhead', 'east coast hip hop, abstract hip hop, cloud rap, water rap']",hip hop
code orange kids,LOVE IS LOVE,30-Nov-12,2012,6,"['return to dust', 'deathwish inc.', 'sludge metal, hardcore punk']","punk,metal"
wu-tang clan,WU-TANG CLAN,1-Dec-12,2012,6,"['eone', 'east coast hip hop, hardcore hip hop, gangsta rap']",hip hop
scott walker,BISH BOSCH,4-Dec-12,2012,7,"['4ad', 'experimental rock, singer-songwriter, dark ambient, weirdmeoutstuff']","ambient,rock,experimental,singer-songwriter"
dragged into sunlight,WIDOWMAKER,5-Dec-12,2012,6,"[""prosthetic records, sludge metal, doom metal, death metal, death doom metal, maybe there's some black metal in there as well""]",metal
roomful of teeth,ROOMFUL OF TEETH,6-Dec-12,2012,7,"['new amsterdam records', 'experimental choral music, tuvan throat singing, a capella, classical']",experimental
p.o.s,WE DON'T EVEN LIVE HERE,7-Dec-12,2012,5,"['rhymesayers', 'conscious hip hop,']",hip hop
miguel,KALEIDOSCOPE DREAM,10-Dec-12,2012,6,"['rca', 'contemporary r&b']",r&b
big boi,VICIOUS LIES AND DANGEROUS RUMORS,17-Dec-12,2012,5,"['def jam', 'southern hip hop, pop rap']","hip hop,pop"
the game,JESUS PIECE,18-Dec-12,2012,5,"['interscope', 'west coast hip hop, hardcore hip hop, gangsta rap, pop rap']","hip hop,pop"
chief keef,FINALLY RICH,19-Dec-12,2012,4,"['interscope', 'trap rap', 'hip hop']",hip hop
burial,TRUANT,20-Dec-12,2012,8,"['rough sleeper', 'hyperdub', 'future garage, dubstep, 2-step', 'electronic']",electronic
lianne la havas,IS YOUR LOVE BIG ENOUGH?,22-Dec-12,2012,7,"['warner united kingdom', 'neo-soul', 'pop soul', 'contemporary folk']","pop,soul,folk"
milo,THINGS THAT HAPPEN AT DAY & THINGS THAT HAPPEN AT NIGHT,7-Jan-13,2013,8,"['hellyre club', 'abstract hip hop, experimental hip hop, cloud rap, spoken word']","hip hop,experimental"
a$ap rocky,LONG.LIVE.A$AP,8-Jan-13,2013,7,"['rca', 'east coast hip hop, southern hip hop, cloud rap, pop rap']","hip hop,pop"
circle takes the square,DECOMPOSITIONS: VOLUME NUMBER ONE,10-Jan-13,2013,6,"['gatepost recordings', 'sluge-esque screamo, post-hardcore', 'metal']",metal
the progressive era,PEEP: THE APROCALYPSE,11-Jan-13,2013,8,"['self-released', 'hardcore hip hop, east coast hip hop, jazz rap']","hip hop,jazz"
toro y moi,ANYTHING IN RETURN,14-Jan-13,2013,4,"['carpark', 'synth funk, synth pop, dance pop']","pop,dance,funk"
yo la tengo,FADE,15-Jan-13,2013,7,"['matador', 'indie rock, dream pop, psychedelic rock, krautrock, jangle pop']","pop,rock,psychedelic"
foxygen,WE ARE THE 21ST CENTURY AMBASSADORS OF PEACE & MAGIC,16-Jan-13,2013,8,"['jagjaguwar', 'glam rock, indie pop, psychedelic pop, garage pop, folk rock, rockabilly']","pop,rock,psychedelic,folk"
villagers,{AWAYLAND},17-Jan-13,2013,7,"['domino', 'folk']",folk
cult of luna,VERTIKAL,21-Jan-13,2013,5,"['indie', 'atmospheric sludge metal, post-hardcore, post-rock, post-metal']","rock,metal"
nosaj thing,HOME,22-Jan-13,2013,5,"['innovative leisure', 'ambient pop, future garage, wonky']","pop,ambient"
this town needs guns,13.0.0.0.0,23-Jan-13,2013,7,"['sargent house', 'math rock, indie rock, emo']","house,rock"
comadre,COMADRE ,24-Jan-13,2013,8,"[""band's merch"", 'hardcore punk, screamo']",punk
buke and gase,GENERAL DOME,25-Jan-13,2013,8,"['brassland', 'noise pop, indie rock, experimental folk']","pop,rock,experimental,folk"
local natives,HUMMINGBIRD,28-Jan-13,2013,5,"['frenchkiss', 'indie rock, chamber pop, indie folk']","pop,rock,folk"
california x,CALIFORNIA X ,30-Jan-13,2013,6,"['don giovanni', 'indie rock, alternative rock, noise rock, stoner rock (slightly)']",rock
tomahawk,ODDFELLOWS,31-Jan-13,2013,6,"['ipecac', 'experimental rock, alternative rock, mr. bungle vibes, patton-core']","rock,experimental"
tegan and sara,HEARTTHROB,4-Feb-13,2013,3,"['warner bros.', 'synth pop, electro pop, top-40 magic']",pop
cakes da killa,THE EULOGY,5-Feb-13,2013,8,"['mishka', 'hip hop']",hip hop
dumbo gets mad,BAD PANDA RECORDS,6-Feb-13,2013,6,"['psychadelic rock', 'pop']","pop,rock"
unknown mortal orchestra,II,7-Feb-13,2013,7,"['jagjaguwar', 'neo-psychedelia, lo-fi, psych pop, poppy funky goodtimes']","pop,funk"
my bloody valentine,MBV,7-Feb-13,2013,8,"['self-released', 'shoegaze, dream pop, experimental rock, noise pop, neo-psychedelia']","pop,rock,experimental"
adam green & binki shapiro,ADAM GREEN & BINKI SHAPIRO ,9-Feb-13,2013,6,"['rounder records', 'baroque pop, twee pop, cutesy slacker duets']",pop
the underachievers,INDIGOISM,11-Feb-13,2013,7,"['brainfeeder', 'conscious hip hop, hardcore hip hop, abstract hip hop, cloud rap']",hip hop
veronica falls,WAITING FOR SOMETHING TO HAPPEN,13-Feb-13,2013,6,"['slumberland records', 'jangle pop, twee pop']",pop
foals,HOLY FIRE,14-Feb-13,2013,5,"['warner united kingdom', 'indie rock, dream pop, dance rock, post-punk, slightly post-rock-ish moment']","pop,dance,rock,punk"
pissed jeans,HONEYS,15-Feb-13,2013,7,"['sub pop', 'noise rock, post-hardcore, hardcore punk']","pop,rock,punk"
grouper,THE MAN WHO DIED IN HIS BOAT,16-Feb-13,2013,7,"['kranky', 'drone, ambient, dream pop, singer-songwriter, lo-fi, psychedelic folk']","pop,ambient,psychedelic,singer-songwriter,folk"
portal,VEXOVOID,19-Feb-13,2013,5,"['profound lore', 'death metal, technical death metal, noise metal, black metal']",metal
beach fossils,CLASH THE TRUTH,20-Feb-13,2013,8,"['captured tracks', 'jangle pop, indie rock, dream pop, indie pop, beach guitar magic, a little bit of post-punk here and there, kinda shoegaze']","pop,rock,punk"
