,pick,position,player,team,league_number
0,1,C,Nikola Jokic,DEN,0
1,2,C,Joel Embiid,PHI,0
2,3,G,Luka Doncic,DAL,0
3,4,G,Tyrese Haliburton,IND,0
4,5,G,Shai Gilgeous-Alexander,OKC,0
5,6,F,Giannis Antetokounmpo,MIL,0
6,7,F,Jayson Tatum,BOS,0
7,8,F,Anthony Davis,LAL,0
8,9,G,Damian Lillard,MIL,0
9,10,G,LaMelo Ball,CHA,0
10,11,G,Anthony Edwards,MIN,0
11,12,G,Stephen Curry,GS,0
12,13,F,Kevin Durant,PHO,0
13,14,G,Donovan Mitchell,CLE,0
14,15,C,Domantas Sabonis,SAC,0
15,16,G,Trae Young,ATL,0
16,17,G,Kyrie Irving,DAL,0
17,18,G,Devin Booker,PHO,0
18,19,F,LeBron James,LAL,0
19,20,F,Jimmy Butler,MIA,0
20,21,G,James Harden,PHI,0
21,22,F,Kawhi Leonard,LAC,0
22,23,F,Pascal Siakam,TOR,0
23,24,F,Mikal Bridges,BKN,0
24,25,G,De'Aaron Fox,SAC,0
25,26,C,Karl-Anthony Towns,MIN,0
26,27,G,Jalen Brunson,NY,0
27,28,C,Bam Adebayo,MIA,0
28,29,F,Lauri Markkanen,UTA,0
29,30,G,Darius Garland,CLE,0
30,31,G,Cade Cunningham,DET,0
31,32,G,Dejounte Murray,ATL,0
32,33,C,Jaren Jackson,MEM,0
33,34,G,Desmond Bane,MEM,0
34,35,F,Zion Williamson,NO,0
35,36,G,Fred VanVleet,HOU,0
36,37,F,Paul George,LAC,0
37,38,F,Victor Wembanyama,SA,0
38,39,C,Evan Mobley,CLE,0
39,40,F,Julius Randle,NY,0
40,41,G,Jamal Murray,DEN,0
41,42,G,Zach LaVine,CHI,0
42,43,G,Jordan Poole,WAS,0
43,44,F,Jaylen Brown,BOS,0
44,45,F,Kristaps Porzingis,BOS,0
45,46,C,Nicolas Claxton,BKN,0
46,47,F,Brandon Ingram,NO,0
47,48,G,DeMar DeRozan,CHI,0
48,49,C,Nikola Vucevic,CHI,0
49,50,C,Alperen Sengun,HOU,0
50,51,G,Tyrese Maxey,PHI,0
51,52,G,Jrue Holiday,BOS,0
52,53,C,Walker Kessler,UTA,0
53,54,F,Scottie Barnes,TOR,0
54,55,G,Bradley Beal,PHO,0
55,56,C,Myles Turner,IND,0
56,57,G,Ja Morant,MEM,0
57,58,C,Deandre Ayton,POR,0
58,59,F,Kyle Kuzma,WAS,0
59,60,G,Josh Giddey,OKC,0
60,61,F,Paolo Banchero,ORL,0
61,62,G,Tyler Herro,MIA,0
62,63,F,Franz Wagner,ORL,0
63,64,F,Chet Holmgren,OKC,0
64,65,C,Jarrett Allen,CLE,0
65,66,G,Anfernee Simons,POR,0
66,67,F,Jerami Grant,POR,0
67,68,G,Terry Rozier,CHA,0
68,69,C,Rudy Gobert,MIN,0
69,70,G,Devin Vassell,SA,0
70,71,F,John Collins,UTA,0
71,72,G,CJ McCollum,NO,0
72,73,C,Jakob Poeltl,TOR,0
73,74,F,OG Anunoby,TOR,0
74,75,G,Jalen Williams,OKC,0
75,76,F,Cameron Johnson,BKN,0
76,77,C,Wendell Carter,ORL,0
77,78,F,Miles Bridges,CHA,0
78,79,G,Klay Thompson,GS,0
79,80,G,Spencer Dinwiddie,BKN,0
80,81,G,Chris Paul,GS,0
81,82,G,Tyus Jones,WAS,0
82,83,G,Ben Simmons,BKN,0
83,84,G,Scoot Henderson,POR,0
84,85,G,Jalen Green,HOU,0
85,86,F,Andrew Wiggins,GS,0
86,87,F,Khris Middleton,MIL,0
87,88,G,Markelle Fultz,ORL,0
88,89,F,Jabari Smith,HOU,0
89,90,F,Daniel Gafford,WAS,0
90,91,F,Draymond Green,GS,0
91,92,C,Mark Williams,CHA,0
92,93,G,Russell Westbrook,LAC,0
93,94,G,Austin Reaves,LAL,0
94,95,C,Brook Lopez,MIL,0
95,96,F,Tobias Harris,PHI,0
96,97,C,Jalen Duren,DET,0
97,98,G,D'Angelo Russell,LAL,0
98,99,G,Tre Jones,SA,0
99,100,F,Michael Porter,DEN,0
100,101,C,Clint Capela,ATL,0
101,102,F,Aaron Gordon,DEN,0
102,103,C,Onyeka Okongwu,ATL,0
103,104,G,Josh Hart,NY,0
104,105,F,Zach Collins,SA,0
105,106,G,Marcus Smart,MEM,0
106,107,C,Robert Williams,POR,0
107,108,G,Derrick White,BOS,0
108,109,C,Jonas Valanciunas,NO,0
109,110,G,Bruce Brown,IND,0
110,111,C,Jusuf Nurkic,PHO,0
111,112,F,Keegan Murray,SAC,0
112,113,F,Trey Murphy,NO,0
113,114,F,Keldon Johnson,SA,0
114,115,G,Mike Conley,MIN,0
115,116,G,Jaden Ivey,DET,0
116,117,G,Buddy Hield,IND,0
117,118,F,Ausar Thompson,DET,0
118,119,G,Shaedon Sharpe,POR,0
119,120,G,Bennedict Mathurin,IND,0
120,121,F,Jeremy Sochan,SA,0
121,122,G,Immanuel Quickley,NY,0
122,123,C,Mitchell Robinson,NY,0
123,124,G,Dennis Schroder,TOR,0
124,125,G,RJ Barrett,NY,0
125,126,F,Bojan Bogdanovic,DET,0
126,127,F,Saddiq Bey,ATL,0
127,128,G,Kevin Huerter,SAC,0
128,129,C,Steven Adams,MEM,0
129,130,G,Jordan Clarkson,UTA,0
130,131,G,Malcolm Brogdon,POR,0
131,132,C,Ivica Zubac,LAC,0
132,133,F,P.J. Washington,CHA,0
133,134,G,Gary Trent,TOR,0
134,135,G,Coby White,CHI,0
135,136,F,Obi Toppin,IND,0
136,137,F,Kevon Looney,GS,0
137,138,G,Collin Sexton,UTA,0
138,139,G,Caris LeVert,CLE,0
139,140,F,Paul Reed,PHI,0
140,141,F,Bobby Portis,MIL,0
141,142,F,Deni Avdija,WAS,0
142,143,F,Brandon Miller,CHA,0
143,144,G,Cole Anthony,ORL,0
144,145,C,Naz Reid,MIN,0
145,146,F,Christian Wood,LAL,0
146,147,G,Shake Milton,MIN,0
147,148,G,Dillon Brooks,HOU,0
148,149,F,Tari Eason,HOU,0
149,150,G,Jevon Carter,CHI,0
150,151,G,Bogdan Bogdanovic,ATL,0
151,152,F,Jonathan Kuminga,GS,0
152,153,G,Quentin Grimes,NY,0
153,154,G,Josh Richardson,MIA,0
154,155,F,Gordon Hayward,CHA,0
155,156,F,Amen Thompson,HOU,0
156,157,F,Kyle Anderson,MIN,0
157,158,F,Jaden McDaniels,MIN,0
158,159,C,Dereck Lively,DAL,0
159,160,C,Al Horford,BOS,0
160,161,G,Kentavious Caldwell-Pope,DEN,0
161,162,G,Jaden Hardy,DAL,0
162,163,G,Payton Pritchard,BOS,0
163,164,G,De'Anthony Melton,PHI,0
164,165,C,Isaiah Stewart,DET,0
165,166,F,De'Andre Hunter,ATL,0
166,167,F,Jarace Walker,IND,0
167,168,F,Patrick Williams,CHI,0
168,169,F,Kenyon Martin,LAC,0
169,170,G,Delon Wright,WAS,0
170,171,G,Malik Monk,SAC,0
171,172,G,Talen Horton-Tucker,UTA,0
172,173,F,Jarred Vanderbilt,LAL,0
173,174,F,Aleksandar Vezenkov,SAC,0
174,175,G,Norman Powell,LAC,0
175,176,G,Andrew Nembhard,IND,0
176,177,F,Jalen Johnson,ATL,0
177,178,F,Herbert Jones,NO,0
178,179,G,Kyle Lowry,MIA,0
179,180,C,Kelly Olynyk,UTA,0
180,181,F,Isaiah Jackson,IND,0
181,182,G,Jalen Suggs,ORL,0
182,183,F,Max Strus,CLE,0
183,184,G,Keyonte George,UTA,0
184,185,F,Grant Williams,DAL,0
185,186,G,Christian Braun,DEN,0
186,187,G,Dennis Smith,BKN,0
187,188,G,Luguentz Dort,OKC,0
188,189,G,Anthony Black,ORL,0
189,190,G,Kris Dunn,UTA,0
190,191,F,Marvin Bagley,DET,0
191,192,F,Harrison Barnes,SAC,0
192,193,F,Chris Boucher,TOR,0
193,194,F,Corey Kispert,WAS,0
194,195,C,Isaiah Hartenstein,NY,0
195,196,G,Cameron Thomas,BKN,0
196,197,C,Mason Plumlee,LAC,0
197,198,F,MarJon Beauchamp,MIL,0
198,199,F,Caleb Martin,MIA,0
199,200,C,James Wiseman,DET,0
200,201,G,Vasilije Micic,OKC,0
201,202,F,Taylor Hendricks,UTA,0
202,203,F,Rui Hachimura,LAL,0
203,204,G,Alex Caruso,CHI,0
204,205,F,Xavier Tillman,MEM,0
205,206,C,Andre Drummond,CHI,0
206,207,C,Drew Eubanks,PHO,0
207,208,G,Grayson Allen,PHO,0
208,209,G,Donte DiVincenzo,NY,0
209,210,G,Terance Mann,LAC,0
210,211,F,Kelly Oubre Jr.,PHI,0
211,212,F,Jonathan Isaac,ORL,0
212,213,G,Malik Beasley,MIL,0
213,214,G,Gabe Vincent,LAL,0
214,215,F,Danilo Gallinari,WAS,0
215,216,G,Bones Hyland,LAC,0
0,1,C,Nikola Jokic,DEN,1
1,2,C,Joel Embiid,PHI,1
2,3,G,Luka Doncic,DAL,1
3,4,F,Giannis Antetokounmpo,MIL,1
4,5,G,Shai Gilgeous-Alexander,OKC,1
5,6,G,Tyrese Haliburton,IND,1
6,7,F,Jayson Tatum,BOS,1
7,8,F,Anthony Davis,LAL,1
8,9,G,LaMelo Ball,CHA,1
9,10,G,Anthony Edwards,MIN,1
10,11,G,Damian Lillard,MIL,1
11,12,G,Stephen Curry,GS,1
12,13,F,Kevin Durant,PHO,1
13,14,C,Domantas Sabonis,SAC,1
14,15,G,Kyrie Irving,DAL,1
15,16,G,Trae Young,ATL,1
16,17,G,Devin Booker,PHO,1
17,18,G,Donovan Mitchell,CLE,1
18,19,G,James Harden,PHI,1
19,20,F,Mikal Bridges,BKN,1
20,21,F,LeBron James,LAL,1
21,22,F,Pascal Siakam,TOR,1
22,23,F,Kawhi Leonard,LAC,1
23,24,F,Julius Randle,NY,1
24,25,G,Jamal Murray,DEN,1
25,26,F,Jimmy Butler,MIA,1
26,27,C,Karl-Anthony Towns,MIN,1
27,28,F,Lauri Markkanen,UTA,1
28,29,F,Paul George,LAC,1
29,30,C,Bam Adebayo,MIA,1
30,31,C,Jaren Jackson,MEM,1
31,32,G,Fred VanVleet,HOU,1
32,33,G,De'Aaron Fox,SAC,1
33,34,G,Cade Cunningham,DET,1
34,35,F,Zion Williamson,NO,1
35,36,G,Jalen Brunson,NY,1
36,37,F,Jaylen Brown,BOS,1
37,38,G,Dejounte Murray,ATL,1
38,39,C,Evan Mobley,CLE,1
39,40,G,Zach LaVine,CHI,1
40,41,F,Victor Wembanyama,SA,1
41,42,G,Desmond Bane,MEM,1
42,43,F,Kristaps Porzingis,BOS,1
43,44,C,Nicolas Claxton,BKN,1
44,45,G,Darius Garland,CLE,1
45,46,G,DeMar DeRozan,CHI,1
46,47,C,Myles Turner,IND,1
47,48,C,Walker Kessler,UTA,1
48,49,F,Scottie Barnes,TOR,1
49,50,G,Tyrese Maxey,PHI,1
50,51,G,Jordan Poole,WAS,1
51,52,F,Chet Holmgren,OKC,1
52,53,C,Alperen Sengun,HOU,1
53,54,F,Brandon Ingram,NO,1
54,55,C,Deandre Ayton,POR,1
55,56,G,Jrue Holiday,BOS,1
56,57,F,Paolo Banchero,ORL,1
57,58,C,Nikola Vucevic,CHI,1
58,59,G,Bradley Beal,PHO,1
59,60,F,Kyle Kuzma,WAS,1
60,61,G,Josh Giddey,OKC,1
61,62,G,Ja Morant,MEM,1
62,63,G,Anfernee Simons,POR,1
63,64,G,Tyler Herro,MIA,1
64,65,F,OG Anunoby,TOR,1
65,66,G,Devin Vassell,SA,1
66,67,G,Jalen Williams,OKC,1
67,68,F,Franz Wagner,ORL,1
68,69,C,Brook Lopez,MIL,1
69,70,C,Rudy Gobert,MIN,1
70,71,F,John Collins,UTA,1
71,72,G,Terry Rozier,CHA,1
72,73,F,Jerami Grant,POR,1
73,74,C,Jarrett Allen,CLE,1
74,75,F,Khris Middleton,MIL,1
75,76,F,Cameron Johnson,BKN,1
76,77,G,Jalen Green,HOU,1
77,78,G,Scoot Henderson,POR,1
78,79,C,Jakob Poeltl,TOR,1
79,80,G,Chris Paul,GS,1
80,81,G,Markelle Fultz,ORL,1
81,82,G,CJ McCollum,NO,1
82,83,F,Miles Bridges,CHA,1
83,84,C,Mark Williams,CHA,1
84,85,G,Klay Thompson,GS,1
85,86,G,Tyus Jones,WAS,1
86,87,F,Jabari Smith,HOU,1
87,88,G,Tre Jones,SA,1
88,89,C,Onyeka Okongwu,ATL,1
89,90,G,Ben Simmons,BKN,1
90,91,C,Jalen Duren,DET,1
91,92,G,Austin Reaves,LAL,1
92,93,G,Marcus Smart,MEM,1
93,94,G,Spencer Dinwiddie,BKN,1
94,95,F,Daniel Gafford,WAS,1
95,96,F,Tobias Harris,PHI,1
96,97,C,Clint Capela,ATL,1
97,98,G,D'Angelo Russell,LAL,1
98,99,G,Derrick White,BOS,1
99,100,F,Trey Murphy,NO,1
100,101,F,Keegan Murray,SAC,1
101,102,C,Wendell Carter,ORL,1
102,103,F,Andrew Wiggins,GS,1
103,104,C,Mitchell Robinson,NY,1
104,105,F,Aaron Gordon,DEN,1
105,106,F,Michael Porter,DEN,1
106,107,F,Zach Collins,SA,1
107,108,G,Russell Westbrook,LAC,1
108,109,C,Jusuf Nurkic,PHO,1
109,110,G,Mike Conley,MIN,1
110,111,C,Steven Adams,MEM,1
111,112,G,Bruce Brown,IND,1
112,113,F,Paul Reed,PHI,1
113,114,F,Draymond Green,GS,1
114,115,G,Shaedon Sharpe,POR,1
115,116,C,Robert Williams,POR,1
116,117,G,Buddy Hield,IND,1
117,118,C,Jonas Valanciunas,NO,1
118,119,G,Josh Hart,NY,1
119,120,F,Ausar Thompson,DET,1
120,121,F,Amen Thompson,HOU,1
121,122,G,Jordan Clarkson,UTA,1
122,123,G,Immanuel Quickley,NY,1
123,124,G,Jaden Ivey,DET,1
124,125,F,Keldon Johnson,SA,1
125,126,F,Tari Eason,HOU,1
126,127,G,Bennedict Mathurin,IND,1
127,128,G,Coby White,CHI,1
128,129,F,P.J. Washington,CHA,1
129,130,G,Malcolm Brogdon,POR,1
130,131,F,Bojan Bogdanovic,DET,1
131,132,G,RJ Barrett,NY,1
132,133,F,Gordon Hayward,CHA,1
133,134,F,Obi Toppin,IND,1
134,135,G,Gary Trent,TOR,1
135,136,C,Dereck Lively,DAL,1
136,137,G,Collin Sexton,UTA,1
137,138,F,Patrick Williams,CHI,1
138,139,C,Ivica Zubac,LAC,1
139,140,G,Dennis Schroder,TOR,1
140,141,F,Brandon Miller,CHA,1
141,142,F,Jaden McDaniels,MIN,1
142,143,G,De'Anthony Melton,PHI,1
143,144,G,Kevin Huerter,SAC,1
144,145,F,Herbert Jones,NO,1
145,146,F,Jeremy Sochan,SA,1
146,147,F,Bobby Portis,MIL,1
147,148,F,Christian Wood,LAL,1
148,149,G,Keyonte George,UTA,1
149,150,F,Kevon Looney,GS,1
150,151,F,Bilal Coulibaly,WAS,1
151,152,G,Jaden Hardy,DAL,1
152,153,F,De'Andre Hunter,ATL,1
153,154,F,Saddiq Bey,ATL,1
154,155,G,Cameron Thomas,BKN,1
155,156,G,Cole Anthony,ORL,1
156,157,G,Caris LeVert,CLE,1
157,158,G,Talen Horton-Tucker,UTA,1
158,159,F,Harrison Barnes,SAC,1
159,160,F,Jonathan Kuminga,GS,1
160,161,G,Quentin Grimes,NY,1
161,162,F,Jalen Johnson,ATL,1
162,163,F,Kyle Anderson,MIN,1
163,164,F,Kelly Oubre Jr.,PHI,1
164,165,G,Bogdan Bogdanovic,ATL,1
165,166,F,Deni Avdija,WAS,1
166,167,G,Norman Powell,LAC,1
167,168,C,Naz Reid,MIN,1
168,169,G,Donte DiVincenzo,NY,1
169,170,G,Josh Richardson,MIA,1
170,171,C,Kelly Olynyk,UTA,1
171,172,G,Jalen Suggs,ORL,1
172,173,F,MarJon Beauchamp,MIL,1
173,174,G,Dillon Brooks,HOU,1
174,175,G,Luke Kennard,MEM,1
175,176,F,Jarace Walker,IND,1
176,177,C,Isaiah Stewart,DET,1
177,178,G,Alec Burks,DET,1
178,179,F,Robert Covington,LAC,1
179,180,C,Al Horford,BOS,1
180,181,F,Rui Hachimura,LAL,1
181,182,C,Charles Bassey,SA,1
182,183,G,Tim Hardaway,DAL,1
183,184,G,Killian Hayes,DET,1
184,185,F,Santi Aldama,MEM,1
185,186,G,Malik Monk,SAC,1
186,187,G,Alex Caruso,CHI,1
187,188,G,Gabe Vincent,LAL,1
188,189,C,James Wiseman,DET,1
189,190,G,Kentavious Caldwell-Pope,DEN,1
190,191,F,Grant Williams,DAL,1
191,192,G,Luguentz Dort,OKC,1
192,193,F,Max Strus,CLE,1
193,194,G,Moses Moody,GS,1
194,195,F,Jarred Vanderbilt,LAL,1
195,196,G,Jevon Carter,CHI,1
196,197,F,Royce O'Neale,BKN,1
197,198,G,Terance Mann,LAC,1
198,199,G,Shake Milton,MIN,1
199,200,F,Marvin Bagley,DET,1
200,201,G,Christian Braun,DEN,1
201,202,G,Bones Hyland,LAC,1
202,203,G,Kyle Lowry,MIA,1
203,204,G,T.J. McConnell,IND,1
204,205,F,Isaiah Jackson,IND,1
205,206,G,Kris Dunn,UTA,1
206,207,G,Andrew Nembhard,IND,1
207,208,F,Caleb Martin,MIA,1
208,209,C,Drew Eubanks,PHO,1
209,210,G,Malik Beasley,MIL,1
210,211,C,Isaiah Hartenstein,NY,1
211,212,G,Malaki Branham,SA,1
212,213,F,Corey Kispert,WAS,1
213,214,G,Matisse Thybulle,POR,1
214,215,F,Xavier Tillman,MEM,1
215,216,C,Nick Richards,CHA,1
0,1,C,Nikola Jokic,DEN,2
1,2,C,Joel Embiid,PHI,2
2,3,G,Luka Doncic,DAL,2
3,4,G,Tyrese Haliburton,IND,2
4,5,G,Shai Gilgeous-Alexander,OKC,2
5,6,F,Giannis Antetokounmpo,MIL,2
6,7,F,Jayson Tatum,BOS,2
7,8,G,Stephen Curry,GS,2
8,9,G,Damian Lillard,MIL,2
9,10,G,LaMelo Ball,CHA,2
10,11,F,Anthony Davis,LAL,2
11,12,G,Anthony Edwards,MIN,2
12,13,G,Devin Booker,PHO,2
13,14,F,Kevin Durant,PHO,2
14,15,G,Kyrie Irving,DAL,2
15,16,C,Domantas Sabonis,SAC,2
16,17,F,Mikal Bridges,BKN,2
17,18,G,Trae Young,ATL,2
18,19,F,LeBron James,LAL,2
19,20,G,Donovan Mitchell,CLE,2
20,21,G,James Harden,PHI,2
21,22,C,Bam Adebayo,MIA,2
22,23,F,Jimmy Butler,MIA,2
23,24,F,Pascal Siakam,TOR,2
24,25,F,Kawhi Leonard,LAC,2
25,26,C,Evan Mobley,CLE,2
26,27,F,Lauri Markkanen,UTA,2
27,28,G,Jalen Brunson,NY,2
28,29,F,Victor Wembanyama,SA,2
29,30,G,De'Aaron Fox,SAC,2
30,31,F,Paul George,LAC,2
31,32,F,Zion Williamson,NO,2
32,33,G,Cade Cunningham,DET,2
33,34,C,Karl-Anthony Towns,MIN,2
34,35,C,Jaren Jackson,MEM,2
35,36,F,Julius Randle,NY,2
36,37,G,Fred VanVleet,HOU,2
37,38,G,Jamal Murray,DEN,2
38,39,G,Desmond Bane,MEM,2
39,40,C,Walker Kessler,UTA,2
40,41,G,Zach LaVine,CHI,2
41,42,G,Darius Garland,CLE,2
42,43,G,Jordan Poole,WAS,2
43,44,F,Paolo Banchero,ORL,2
44,45,G,Ja Morant,MEM,2
45,46,F,Jaylen Brown,BOS,2
46,47,G,Dejounte Murray,ATL,2
47,48,G,DeMar DeRozan,CHI,2
48,49,G,Josh Giddey,OKC,2
49,50,G,Tyrese Maxey,PHI,2
50,51,F,Kristaps Porzingis,BOS,2
51,52,C,Nicolas Claxton,BKN,2
52,53,C,Deandre Ayton,POR,2
53,54,C,Myles Turner,IND,2
54,55,G,Bradley Beal,PHO,2
55,56,F,Scottie Barnes,TOR,2
56,57,F,Franz Wagner,ORL,2
57,58,F,Jerami Grant,POR,2
58,59,F,Brandon Ingram,NO,2
59,60,C,Nikola Vucevic,CHI,2
60,61,F,Kyle Kuzma,WAS,2
61,62,C,Alperen Sengun,HOU,2
62,63,F,Chet Holmgren,OKC,2
63,64,G,Devin Vassell,SA,2
64,65,C,Rudy Gobert,MIN,2
65,66,F,OG Anunoby,TOR,2
66,67,G,Anfernee Simons,POR,2
67,68,G,Scoot Henderson,POR,2
68,69,G,Jrue Holiday,BOS,2
69,70,G,Jalen Williams,OKC,2
