Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
1,Nikola Jokic,DEN,C,1.6,2.06,1.94,1.2,1.3,-,64.55,,,21
2,Luka Doncic,DAL,G,3.6,4.23,1.65,5.5,3.2,-,61.74,,,21
3,Giannis Antetokounmpo,MIL,F,3.7,3.02,3,6.5,2.1,-,62.38,,,21
4,James Harden,PHI,G,5.9,4.52,3.87,11.5,3.7,-,61.23,,,21
5,Karl-Anthony Towns,MIN,C,8.1,10.19,9.25,7,6,-,50.11,,,21
6,Stephen Curry,GSW,G,8.4,12.15,7.64,6.3,7.6,-,47.67,,,21
7,Kevin Durant,PHO,F,8.7,16.51,8.95,2.9,6.3,-,45.37,,,21
8,Joel Embiid,PHI,C,9.0,13.07,7.52,5.1,10.3,-,51.46,,,21
9,Damian Lillard,POR,G,10.4,6.65,10.11,16.1,8.7,-,55.99,,,21
10,Trae Young,ATL,G,10.8,15.44,11.03,4.2,12.5,-,43.5,,,21
11,Jayson Tatum,BOS,F,11.5,15.53,14.25,8.8,7.4,-,41.9,,,21
12,LeBron James,LAL,F,12.0,11.01,10.49,12.8,13.8,-,54.74,,,21
13,Bradley Beal,PHO,G,15.0,10.02,11.71,22.8,15.5,-,49.77,,,21
14,Paul George,LAC,G,17.7,19.66,20.03,20.3,11,-,39.19,,,21
15,Domantas Sabonis,SAC,C,20.3,27.19,13.67,24.6,15.7,-,26.64,,,21
16,Anthony Davis,LAL,C,22.7,40.26,13.5,18.4,18.6,-,17.61,,,21
17,Jimmy Butler,MIA,F,23.4,20.27,28.12,18.5,26.6,-,37.63,,,21
18,Nikola Vucevic,CHI,C,23.5,14.19,18.9,38.4,22.7,-,47.39,,,21
19,Bam Adebayo,MIA,C,23.9,25.01,25.89,22.9,21.6,-,29.88,,,21
20,Devin Booker,PHO,G,25.4,31.91,24.35,21.3,24.2,-,19.02,,,21
21,Zion Williamson,NOP,F,25.7,18.03,20.66,41.2,23,-,39.62,,,21
22,Zach LaVine,CHI,G,26.5,16.7,21.7,40.8,26.7,-,42.73,,,21
23,Ja Morant,MEM,G,26.9,46.2,20.72,13.1,27.5,-,12.54,,,21
24,Donovan Mitchell,CLE,G,27.7,35.81,27.14,22.5,25.2,-,16.81,,,21
25,Julius Randle,NYK,F,29.9,28.34,21,53.8,16.5,-,25.55,,,21
26,LaMelo Ball,CHA,G,30.2,67.88,21.52,10.8,20.7,-,7.96,,,21
26,Rudy Gobert,MIN,C,30.2,29.6,31.99,29.2,29.9,-,24.97,,,21
28,De'Aaron Fox,SAC,G,31.0,32.68,25.49,45.9,19.9,-,22.54,,,21
29,Shai Gilgeous-Alexander,OKC,G,31.7,30.43,39.3,26.3,30.6,-,36.41,,,21
30,Jaylen Brown,BOS,F,33.9,35.91,37.69,33,29.1,-,19.72,,,21
31,Russell Westbrook,LAC,G,34.1,30.68,15.17,76.1,14.4,-,19.75,,,21
32,Brandon Ingram,NOP,F,35.4,26.9,33.84,51.1,29.9,-,26.96,,,21
33,DeMar DeRozan,CHI,F,36.1,32.37,40.72,29.7,41.5,-,21.59,,,21
34,Fred VanVleet,HOU,G,37.2,40.24,43.48,28.2,36.8,-,18.68,,,21
35,Chris Paul,GSW,G,37.4,26.65,46.3,32.4,44.1,-,29.71,,,21
36,Khris Middleton,MIL,F,38.1,35.43,38.36,43.2,35.3,-,22.0,,,21
37,Deandre Ayton,PHO,C,41.0,53.39,39.31,35,36.4,-,9.59,,,21
38,Jrue Holiday,MIL,G,43.1,47.46,36.27,45.4,43.2,-,16.16,,,21
39,Christian Wood,FA,C,43.2,40.47,32.6,55.9,43.9,-,18.15,,,21
40,Pascal Siakam,TOR,F,44.0,40.18,53.12,36.7,46.1,-,15.17,,,21
41,Cade Cunningham,DET,G,46.2,-,42.39,40.1,56,-,-1.0,,,21
42,Dejounte Murray,ATL,G,46.3,72.96,47.61,27.2,37.4,-,7.62,,,21
43,CJ McCollum,NOP,G,47.1,47.13,46.76,47.1,47.6,-,11.63,,,21
44,Kyrie Irving,DAL,G,47.3,23.26,76.09,13.8,76.1,-,32.07,,,21
45,Tobias Harris,PHI,F,48.4,44.92,47.05,62.6,39,-,13.07,,,21
46,Ben Simmons,BKN,F,48.8,19.87,44.71,88.1,42.4,-,40.16,,,21
47,Kristaps Porzingis,BOS,F,51.1,54.69,44.78,47.9,57.1,-,9.48,,,21
48,Clint Capela,ATL,C,52.6,53.02,39.38,74.2,43.7,-,11.63,,,21
49,Anthony Edwards,MIN,G,54.6,111.5,39.28,33.5,34.2,-,0.72,,,21
50,Michael Porter,DEN,F,55.0,78.46,43.01,62.2,36.4,-,4.32,,,21
51,Malcolm Brogdon,BOS,G,55.2,43.48,50.9,69.3,57.3,-,19.86,,,21
52,John Collins,UTA,F,56.2,62.58,50.51,63.4,48.4,-,7.17,,,21
53,Kawhi Leonard,LAC,F,57.4,17.91,83.12,17.9,110.7,-,36.95,,,21
54,Jonas Valanciunas,NOP,C,59.3,77.07,55.57,49.3,55.1,-,5.0,,,21
55,Lonzo Ball,CHI,G,62.7,76.6,60.58,58.5,55.1,-,6.44,,,21
56,D'Angelo Russell,LAL,G,63.1,90,41.51,66.3,54.5,-,2.63,,,21
57,Kyle Lowry,MIA,G,64.1,50.83,55.81,85,64.8,-,11.87,,,21
58,Jerami Grant,POR,F,65.5,66.9,61.32,80.1,53.8,-,7.27,,,21
