Artist,Album,Date,Score,Genre
JOHN FRUSCIANTE,PBX FUNICIULAR INTAGLIO ZONE,10/16/2012,2,"['RECORD COLLECTION', '2012', 'EXPERIMENTAL ROCK, ART POP, LO-FI, BREAKBEAT ELECTRONICA, DRUM AND BASS']"
DAPHNI,JIAOLONG,10/19/2012,6,"['2012', 'MERGE RECORDS', 'TECH HOUSE, TRIBAL HOUSE']"
BETWEEN THE BURIED AND ME,THE PARALLAX II: FUTURE SEQUENCE,10/19/2012,4,"['2012', 'METAL BLADE', 'PROGRESSIVE METAL, PROGRESSIVE ROCK, METALCORE']"
BLU & EXILE,GIVE ME MY FLOWERS WHILE I CAN STILL SMELL THEM,10/20/2012,7,"['2012', 'DIRTY SCIENCE', 'WEST COAST HIP HOP, BOOM BAP, CONSCIOUS HIP HOP']"
KENDRICK LAMAR,"GOOD KID, M.A.A.D. CITY",10/22/2012,9,"['2012', 'INTERSCOPE', 'WEST COAST HIP HOP, CONSCIOUS HIP HOP']"
KARRIEM RIGGINS,ALONE TOGETHER,10/23/2012,8,"['2012', 'STONESTHROW', 'INSTRUMENTAL HIP HOP, JAZZ, BEATMUSIC']"
3:33,IN THE MIDDLE OF INFINITY,10/24/2012,6,"['PARALLEL THOUGHT', '2012', 'BEATMUSIC', 'INSTRUMENTAL HIP HOP', 'DARK AMBIENT', 'DRONE']"
PIG DESTROYER,BOOK BURNER,10/24/2012,6,"['RELAPSE', '2012', 'GRINDCORE, MOSH RIFFS AND MOSH RIFFS AND MOSH RIFFS']"
CHELSEA WOLFE,UNKNOWN ROOMS: A COLLECTION OF ACOUSTIC SONGS,10/26/2012,7,"['2012', 'SERGEANT HOUSE', 'NEOFOLK, ALTERNATIVE SINGER-SONGWRITER, ETHEREAL WAVE']"
HOAX,3RD EP,10/26/2012,6,"['2012', 'PAINKILLER', 'HARDCORE PUNK']"
ANDY STOTT,LUXURY PROBLEMS,10/29/2012,7,"['2012', 'MODERN LOVE', 'DUB TECHNO, MINIMAL TECHNO, AMBIENT TECHNO, THERE ARE ELEMENTS OF DRONE SPATTERED THROUGHOUT THIS ALBUM, TOO...']"
MAC DEMARCO,2,10/30/2012,6,"['CAPTURED TRACKS', '2012', 'INDIE POP, INDIE ROCK, LO-FI, JANGLE POP']"
THE BAD PLUS,MADE POSSIBLE,10/31/2012,8,"['2012', 'EONE MUSIC', 'JAZZ FUSION, AVANT-GARDE JAZZ, JAZZ']"
THE SOFT MOON,ZEROS,11/1/2012,4,"['CAPTURED TRACKS', '2012', 'GOTHIC ROCK, POST-PUNK, SYNTH PUNK, COLD WAVE']"
BLACK MOTH SUPER RAINBOW,COBRA JUICY,11/1/2012,5,"['2012', 'RAD CULT', 'NEO-PSYCHEDELIA, INDIE ELECTRONIC']"
PILE,DRIPPING,11/2/2012,8,"['2012', 'EXPLODING IN SOUND RECORDS', 'POST-HARDCORE, INDIE ROCK']"
NEUROSIS,HONOR FOUND IN DECAY,11/5/2012,7,"['2012', 'NEUROT', 'ATMOSPHERIC SLUDGE METAL, POST ROCK, A BIT OF FOLK INFLUENCE AS WELL']"
TITUS ANDRONICUS,LOCAL BUSINESS,11/7/2012,6,"['2012', 'XL', 'INDIE ROCK, PUNK, FOLK PUNK, POP PUNK, THE BOSS']"
BAT FOR LASHES,THE HAUNTED MAN,11/8/2012,7,"['2012', 'PARLOPHONE', 'ART POP, SYNTH POP, INDIE POP, DREAM POP, CHAMBER POP']"
THE SECRET,AGNUS DEI,11/8/2012,5,"['SOUTHERN LORD', '2012', 'HARDCORE PUNK, CRUST PUNK, SLUDGE METAL, METALCORE, BLACK METAL']"
BRIAN ENO,LUX,11/12/2012,6,"['WARP', '2012', 'AMBIENT, ELECTRONIC']"
CRYSTAL CASTLES,III,11/13/2012,4,"['2012', 'FICTION & CASABLANCA & UNIVERSAL REBPUBLIC', 'ELECTRONIC, ELECTROPOP, DREAM POP, DARKENED DANCEPOP']"
JESSICA PRATT,SELF-TITLED,11/14/2012,7,"['BIRTH RECORDS', '2012', 'SINGER-SONGWRITER, CONTEMPORARY FOLK']"
DEFTONES,KOI NO YOKAN,11/15/2012,6,"['REPRISE', '2012', 'ALTERNATIVE METAL, SHOEGAZE, ALTERNATIVE ROCK']"
RATKING,WIKI93,11/15/2012,5,"['2012', 'XL RECORDINGS', 'ALTERNATIVE HIP HOP, HARDCORE HIP HOP']"
ACTION BRONSON AND THE ALCHEMIST ,RARE CHEANDELIERS,11/16/2012,8,"['VICE', '2012', 'HARDCORE HIP HOP, EAST COAST HIP HOP']"
VESSEL,ORDER OF NOISE,11/16/2012,7,"['2012', 'TRIANGLE RECORDS', 'MINIMAL TECHNO, DUB, IDM, AMBIENT']"
VESSEL,ORDER OF NOISE,11/16/2012,7,"['2012', 'TRIANGLE RECORDS', 'MINIMAL TECHNO, DUB, IDM, AMBIENT']"
GOAT,WORLD MUSIC,11/19/2012,5,"['ROCKET', '2012', 'PSYCHEDELIC ROCK, AFROBEAT, GARAGE ROCK']"
HOLLY HERNDON,MOVEMENT,11/20/2012,7,"['RVNG INTL.', '2012', 'EXPERIMENTAL, TECHNO, HOUSE']"
CAPTAIN MURPHY,DUALITY,11/21/2012,7,"['2012', 'SELF-RELEASED', 'EXPERIMENTAL HIP HOP']"
THE EVENS,THE ODDS,11/22/2012,8,"['2012', 'DISCHORD RECORDS', 'INDIE, FOLK PUNK, ""D.C. SOUND"", POST-POST-HARDCORE']"
TIM HECKER AND DANIEL LOPATIN,INSTRUMENTAL TOURIST,11/25/2012,5,"['2012', 'SOFTWARE', 'AMBIENT, DRONE, EXPERIMENTAL, EAI, NOISE, GLITCH, PROGRESSIVE ELECTRONIC']"
ANGEL OLSEN,HALF WAY HOME,11/27/2012,7,"['2012', 'BATHETIC', 'SINGER-SONGWRITER, INDIE FOLK, CONTEMPORARY FOLK, ALT-COUNTRY']"
MACINTOSH PLUS,FLORAL SHOPPE,11/28/2012,4,"['2012', 'BEER ON THE RUG', 'PLUNDERPHONICS, EXPERIMENTAL, AMBIENT, SYNTH FUNK, CHOPPED & SCREWED']"
HEEMS,WILD WATER KINGDOM,11/29/2012,5,"['2012', 'GREEDHEAD', 'EAST COAST HIP HOP, ABSTRACT HIP HOP, CLOUD RAP, WATER RAP']"
CODE ORANGE KIDS,LOVE IS LOVE,11/30/2012,6,"['', 'RETURN TO DUST', 'DEATHWISH INC.', '2012', 'SLUDGE METAL, HARDCORE PUNK']"
WU,BLOCK- SELF-TITLED,12/1/2012,6,"['2012', 'EONE', 'EAST COAST HIP HOP, HARDCORE HIP HOP, GANGSTA RAP']"
SCOTT WALKER,BISH BOSCH,12/4/2012,7,"['2012', '4AD', 'EXPERIMENTAL ROCK, SINGER-SONGWRITER, DARK AMBIENT, WEIRDMEOUTSTUFF']"
DRAGGED INTO SUNLIGHT,WIDOWMAKER,12/5/2012,6,"['2012', ""PROSTHETIC RECORDS, SLUDGE METAL, DOOM METAL, DEATH METAL, DEATH DOOM METAL, MAYBE THERE'S SOME BLACK METAL IN THERE AS WELL""]"
ROOMFUL OF TEETH,SELF-TITLED,12/6/2012,7,"['2012', 'NEW AMSTERDAM RECORDS', 'EXPERIMENTAL CHORAL MUSIC, TUVAN THROAT SINGING, A CAPELLA, CLASSICAL']"
P.O.S,WE DON'T EVEN LIVE HERE,12/7/2012,5,"['2012', 'RHYMESAYERS', 'CONSCIOUS HIP HOP,']"
MIGUEL,KALEIDOSCOPE DREAM,12/10/2012,6,"['2012', 'RCA', 'CONTEMPORARY R&B']"
BIG BOI,VICIOUS LIES AND DANGEROUS RUMORS,12/17/2012,5,"['2012', 'DEF JAM', 'SOUTHERN HIP HOP, POP RAP']"
BIG BOI,VICIOUS LIES AND DANGEROUS RUMORS,12/17/2012,5,"['2012', 'DEF JAM', 'SOUTHERN HIP HOP, POP RAP']"
THE GAME,JESUS PIECE,12/18/2012,5,"['2012', 'INTERSCOPE', 'WEST COAST HIP HOP, HARDCORE HIP HOP, GANGSTA RAP, POP RAP']"
THE GAME,JESUS PIECE,12/18/2012,5,"['2012', 'INTERSCOPE', 'WEST COAST HIP HOP, HARDCORE HIP HOP, GANGSTA RAP, POP RAP']"
CHIEF KEEF,FINALLY RICH,12/19/2012,4,"['2012', 'INTERSCOPE', 'TRAP RAP']"
BURIAL,TRUANT,12/20/2012,8,"['ROUGH SLEEPER', 'HYPERDUB', '2012', 'FUTURE GARAGE, DUBSTEP, 2-STEP']"
LIANNE LA HAVAS ,IS YOUR LOVE BIG ENOUGH?,12/22/2012,7," 2012 / WARNER UNITED KINGDOM / NEO-SOUL, POP SOUL, CONTEMPORARY FOLK"
MILO,THINGS THAT HAPPEN AT DAY & THINGS THAT HAPPEN AT NIGHT,1/7/2013,8,"['2013', 'HELLYRE CLUB', 'ABSTRACT HIP HOP, EXPERIMENTAL HIP HOP, CLOUD RAP, SPOKEN WORD']"
A$AP ROCKY ,LONG.LIVE.A$AP,1/8/2013,7,"['RCA', '2013', 'EAST COAST HIP HOP, SOUTHERN HIP HOP, CLOUD RAP, POP RAP']"
CIRCLE TAKES THE SQUARE ,DECOMPOSITIONS: VOLUME NUMBER ONE,1/10/2013,6,"['2013', 'GATEPOST RECORDINGS', 'SLUGE-ESQUE SCREAMO, POST-HARDCORE']"
THE PROGRESSIVE ERA ,PEEP: THE APROCALYPSE,1/11/2013,8,"['2013', 'SELF-RELEASED', 'HARDCORE HIP HOP, EAST COAST HIP HOP, JAZZ RAP']"
TORO Y MOI ,ANYTHING IN RETURN,1/14/2013,4,"['CARPARK', '2013', 'SYNTH FUNK, SYNTH POP, DANCE POP']"
YO LA TENGO ,FADE,1/15/2013,7,"['MATADOR', '2013', 'INDIE ROCK, DREAM POP, PSYCHEDELIC ROCK, KRAUTROCK, JANGLE POP']"
FOXYGEN ,WE ARE THE 21ST CENTURY AMBASSADORS OF PEACE & MAGIC,1/16/2013,8,"['JAGJAGUWAR', '2013', 'GLAM ROCK, INDIE POP, PSYCHEDELIC POP, GARAGE POP, FOLK ROCK, ROCKABILLY']"
VILLAGERS ,{AWAYLAND},1/17/2013,7,"['2013', 'DOMINO', '']"
CULT OF LUNA ,VERTIKAL,1/21/2013,5,"['2013', 'INDIE', 'ATMOSPHERIC SLUDGE METAL, POST-HARDCORE, POST-ROCK, POST-METAL']"
NOSAJ THING ,HOME,1/22/2013,5,"['2013', 'INNOVATIVE LEISURE', 'AMBIENT POP, FUTURE GARAGE, WONKY']"
