Artists,Album,Date,Year,Score,Tags,Genres
rick ross,MASTERMIND,9-Mar-14,2014,-1,"['maybach', 'pop rap, hip hop, southern hip hop']","hip hop,pop"
"21 savage<,>metro boomin",Savage Mode,20-Jul-16,2016,-1,"['savage mode', 'mixtape', 'slaughter gang', 'rap', 'hip hop', 'southern', 'trap']",hip hop
blink-182,California,9-Jul-16,2016,-1,"['bmg', 'rock', 'pop punk', 'alternative rock']","pop,rock,punk"
corey feldman,Angelic 2 the Core,27-Sep-16,2016,-1,"['cifi', 'pop', 'dance pop', 'funk metal', 'hip house', 'funk rock', 'other']","pop,dance,house,funk,rock,metal"
desiigner,New English,2-Jul-16,2016,-1,"['mixtape', 'tidal', 'rap', 'hip hop', 'trap']",hip hop
meshuggah,The Violent Sleep of Reason,13-Oct-16,2016,-1,"['nuclear blast', 'loud rock', 'sweden', 'djent', 'progressive metal']","rock,metal"
post malone,Stoney,14-Dec-16,2016,-1,"['universal', 'rap', 'hip hop', 'trap', 'pop rap', 'alternative r&b']","hip hop,pop,r&b"
skillet,Unleashed,9-Aug-16,2016,-1,"['atlantic', 'rock', 'christian', 'hard rock', 'alternative metal']","rock,metal"
tove lo,Lady Wood,9-Nov-16,2016,-1,"['island', 'sweden', 'pop', 'electropop', 'synthpop', 'dance pop']","pop,dance"
trisha paytas,Showtime EP,14-Sep-16,2016,-1,"['ep', 'self-released', 'pop']",pop
future,HNDRXX,27-Feb-17,2017,-1,"['freebandz', 'rap', 'hip hop', 'pop rap', 'trap', 'contemporary r&b']","hip hop,pop,r&b"
lil dicky,I'm Brain,19-Sep-17,2017,-1,"[""i'm brain"", 'ep', 'rap', 'hip hop', 'trap', 'contemporary r&b', 'comedy rap', 'novelty']","hip hop,r&b"
lil peep,"Come Over When You're Sober, Pt. 1",18-Aug-17,2017,-1,"['self-released', 'rap', 'hip hop', 'trap', 'cloud rap', 'emo']",hip hop
linkin park,One More Light,25-May-17,2017,-1,"['warner bros', 'pop', 'pop rock', 'electropop']","pop,rock"
the chainsmokers,Memories... Do Not Open,14-Apr-17,2017,-1,"['disruptor', 'pop', 'synthpop', 'electropop', 'tropical', 'house', 'trap', 'hip hop']","hip hop,pop,house"
wendy's,We Beefin?,25-Mar-18,2018,-1,"['we beefin', 'mixtape', 'ep', 'rap', 'hip hop', 'novelty', 'trap']",hip hop
fall out boy,Mania,27-Jan-18,2018,-1,"['island', 'pop', 'pop rock', 'electropop']","pop,rock"
godsmack,When Legends Rise,12-Jun-18,2018,-1,"['loud rock', 'alternative metal', 'post-grunge']","rock,metal"
greta van fleet,Anthem of the Peaceful Army,29-Oct-18,2018,-1,"['republic', 'rock', 'hard rock', 'led zeppelin']",rock
imagine dragons,Origins,14-Nov-18,2018,-1,"['interscope', 'pop', 'pop rock', 'electropop']","pop,rock"
