player,team,num_picks,average_pick
Nikola Jokic,DEN,10,1
Joel Embiid,PHI,10,2.4
Luka Doncic,DAL,10,2.9
Giannis Antetokounmpo,MIL,10,4.9
Tyrese Haliburton,IND,10,5
Shai Gilgeous-Alexander,OKC,10,5.2
Jayson Tatum,BOS,10,6.6
Anthony Davis,LAL,10,9.1
Stephen Curry,GS,10,10.3
LaMelo Ball,CHA,10,10.8
Damian Lillard,MIL,10,11.1
Kevin Durant,PHO,10,11.4
Anthony Edwards,MIN,10,12.7
Domantas Sabonis,SAC,10,13.5
Kyrie Irving,DAL,10,15.9
Trae Young,ATL,10,15.9
Devin Booker,PHO,10,16.3
Donovan Mitchell,CLE,10,17.5
LeBron James,LAL,10,20.6
James Harden,PHI,10,21.1
Mikal Bridges,BKN,10,22.8
Jimmy Butler,MIA,10,22.9
Pascal Siakam,TOR,10,24.1
Kawhi Leonard,LAC,10,24.5
De'Aaron Fox,SAC,10,24.9
Jalen Brunson,NY,10,27.1
Bam Adebayo,MIA,10,28.7
Cade Cunningham,DET,10,28.9
Karl-Anthony Towns,MIN,10,29.1
Jaren Jackson,MEM,10,32.4
Paul George,LAC,10,33.1
Lauri Markkanen,UTA,10,33.2
Evan Mobley,CLE,10,34.3
Zion Williamson,NO,10,34.6
Jamal Murray,DEN,10,35.9
Dejounte Murray,ATL,10,36.1
Darius Garland,CLE,10,37.5
Desmond Bane,MEM,10,37.5
Fred VanVleet,HOU,10,37.5
Julius Randle,NY,10,38.2
Zach LaVine,CHI,10,38.6
Jaylen Brown,BOS,10,39
Victor Wembanyama,SA,10,41
Jordan Poole,WAS,10,43.7
DeMar DeRozan,CHI,10,45.6
Nicolas Claxton,BKN,10,46.9
Kristaps Porzingis,BOS,10,47.5
Tyrese Maxey,PHI,10,51.1
Deandre Ayton,POR,10,51.2
Myles Turner,IND,10,51.5
Brandon Ingram,NO,10,51.6
Walker Kessler,UTA,10,52.3
Nikola Vucevic,CHI,10,52.8
Paolo Banchero,ORL,10,53.8
Scottie Barnes,TOR,10,53.9
Ja Morant,MEM,10,54.1
Alperen Sengun,HOU,10,55.1
Bradley Beal,PHO,10,55.7
Josh Giddey,OKC,10,55.7
Chet Holmgren,OKC,10,59.2
Jrue Holiday,BOS,10,61.3
Kyle Kuzma,WAS,10,61.4
Anfernee Simons,POR,10,63.5
Franz Wagner,ORL,10,63.8
OG Anunoby,TOR,10,66.2
Devin Vassell,SA,10,66.7
Tyler Herro,MIA,10,66.7
Jarrett Allen,CLE,10,68.7
Rudy Gobert,MIN,10,69.1
Jalen Williams,OKC,10,70.3
Jerami Grant,POR,10,71.1
Jakob Poeltl,TOR,10,73.2
CJ McCollum,NO,10,74.4
Terry Rozier,CHA,10,74.7
Scoot Henderson,POR,10,75.3
Chris Paul,GS,10,76.6
