"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Vucci mane","Oct 3, 2023 2:00:22"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","Harbalibir","Oct 3, 2023 2:00:53"
"*04kj6*",1,3,3,"G","Luka Doncic","DAL","Markelle magic","Oct 3, 2023 2:08:59"
"*05qtv*",1,4,4,"G","Tyrese Haliburton","IND","New Team 28","Oct 3, 2023 2:09:00"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","Bad Habits","Oct 3, 2023 2:14:38"
"*031m2*",1,6,6,"F","Giannis Antetokounmpo","MIL","Jitters & Tingles","Oct 3, 2023 2:55:44"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","Billsville Trojans 2","Oct 3, 2023 3:36:24"
"*01enh*",1,8,8,"G","Stephen Curry","GS","Dino’s Destroyers","Oct 3, 2023 3:36:25"
"*02nf6*",1,9,9,"G","Damian Lillard","MIL","Miller time","Oct 3, 2023 3:54:34"
"*05qto*",1,10,10,"G","LaMelo Ball","CHA","Regular team","Oct 3, 2023 4:08:52"
"*02nf1*",1,11,11,"F","Anthony Davis","LAL","Redbull Wardell","Oct 3, 2023 4:14:03"
"*05qug*",1,12,12,"G","Anthony Edwards","MIN","I Like Poeltls","Oct 3, 2023 4:40:04"
"*03nwm*",2,1,13,"G","Devin Booker","PHO","I Like Poeltls","Oct 3, 2023 4:40:12"
"*001aw*",2,2,14,"F","Kevin Durant","PHO","Redbull Wardell","Oct 3, 2023 4:44:39"
"*027oj*",2,3,15,"G","Kyrie Irving","DAL","Regular team","Oct 3, 2023 4:48:16"
"*042n7*",2,4,16,"C","Domantas Sabonis","SAC","Miller time","Oct 3, 2023 4:59:08"
"*04qrn*",2,5,17,"F","Mikal Bridges","BKN","Dino’s Destroyers","Oct 3, 2023 5:48:22"
"*04qrk*",2,6,18,"G","Trae Young","ATL","Billsville Trojans 2","Oct 3, 2023 6:01:02"
"*0011e*",2,7,19,"F","LeBron James","LAL","Jitters & Tingles","Oct 3, 2023 7:29:18"
"*04ewe*",2,8,20,"G","Donovan Mitchell","CLE","Bad Habits","Oct 3, 2023 7:29:19"
"*01eo6*",2,9,21,"G","James Harden","PHI","New Team 28","Oct 4, 2023 12:16:30"
"*04ewf*",2,10,22,"C","Bam Adebayo","MIA","Markelle magic","Oct 4, 2023 12:17:15"
"*027pe*",2,11,23,"F","Jimmy Butler","MIA","Harbalibir","Oct 4, 2023 12:30:56"
"*042nm*",2,12,24,"F","Pascal Siakam","TOR","Vucci mane","Oct 4, 2023 2:36:53"
"*027oz*",3,1,25,"F","Kawhi Leonard","LAC","I Like Poeltls","Oct 4, 2023 6:42:55"
"*05uid*",3,2,26,"C","Evan Mobley","CLE","Redbull Wardell","Oct 4, 2023 7:25:00"
"*04azw*",3,3,27,"F","Lauri Markkanen","UTA","Regular team","Oct 4, 2023 1:41:51"
"*04qsa*",3,4,28,"G","Jalen Brunson","NY","Miller time","Oct 4, 2023 1:56:52"
"*06cch*",3,5,29,"F","Victor Wembanyama","SA","Dino’s Destroyers","Oct 4, 2023 2:04:53"
"*049kb*",3,6,30,"G","De'Aaron Fox","SAC","Billsville Trojans 2","Oct 4, 2023 3:16:21"
"*01uyj*",3,7,31,"F","Paul George","LAC","Jitters & Tingles","Oct 4, 2023 4:51:43"
"*051oh*",3,8,32,"F","Zion Williamson","NO","Bad Habits","Oct 4, 2023 4:51:45"
"*05uib*",3,9,33,"G","Cade Cunningham","DET","New Team 28","Oct 4, 2023 4:56:05"
"*03ad3*",3,10,34,"C","Karl-Anthony Towns","MIN","Markelle magic","Oct 4, 2023 4:56:17"
"*04qrj*",3,11,35,"C","Jaren Jackson","MEM","Harbalibir","Oct 4, 2023 5:18:40"
"*03ajv*",3,12,36,"F","Julius Randle","NY","Vucci mane","Oct 4, 2023 5:33:38"
"*04848*",4,1,37,"G","Fred VanVleet","HOU","Vucci mane","Oct 4, 2023 5:35:07"
"*042n4*",4,2,38,"G","Jamal Murray","DEN","Harbalibir","Oct 4, 2023 5:45:04"
"*05qt3*",4,3,39,"G","Desmond Bane","MEM","Markelle magic","Oct 4, 2023 5:46:32"
"*0621l*",4,4,40,"C","Walker Kessler","UTA","New Team 28","Oct 4, 2023 5:48:35"
"*03ams*",4,5,41,"G","Zach LaVine","CHI","Bad Habits","Oct 4, 2023 5:51:05"
"*051ol*",4,6,42,"G","Darius Garland","CLE","Jitters & Tingles","Oct 4, 2023 6:48:42"
"*051p8*",4,7,43,"G","Jordan Poole","WAS","Billsville Trojans 2","Oct 4, 2023 8:13:46"
"*06210*",4,8,44,"F","Paolo Banchero","ORL","Dino’s Destroyers","Oct 4, 2023 8:13:47"
"*051oi*",4,9,45,"G","Ja Morant","MEM","Miller time","Oct 4, 2023 8:13:53"
"*03lls*",4,10,46,"F","Jaylen Brown","BOS","Regular team","Oct 4, 2023 8:19:10"
"*042nq*",4,11,47,"G","Dejounte Murray","ATL","Redbull Wardell","Oct 4, 2023 8:19:11"
"*01eon*",4,12,48,"G","DeMar DeRozan","CHI","I Like Poeltls","Oct 4, 2023 9:50:43"
"*05uig*",5,1,49,"G","Josh Giddey","OKC","I Like Poeltls","Oct 4, 2023 9:52:37"
"*05qsq*",5,2,50,"G","Tyrese Maxey","PHI","Redbull Wardell","Oct 4, 2023 9:52:38"
"*03el5*",5,3,51,"F","Kristaps Porzingis","BOS","Regular team","Oct 4, 2023 9:55:13"
"*051pb*",5,4,52,"C","Nicolas Claxton","BKN","Miller time","Oct 4, 2023 9:55:14"
"*049kd*",5,5,53,"C","Deandre Ayton","POR","Dino’s Destroyers","Oct 4, 2023 9:55:16"
"*03ad2*",5,6,54,"C","Myles Turner","IND","Billsville Trojans 2","Oct 5, 2023 4:55:25"
"*02nf3*",5,7,55,"G","Bradley Beal","PHO","Jitters & Tingles","Oct 5, 2023 4:58:44"
"*05uie*",5,8,56,"F","Scottie Barnes","TOR","Bad Habits","Oct 5, 2023 4:58:45"
"*05uii*",5,9,57,"F","Franz Wagner","ORL","New Team 28","Oct 5, 2023 5:24:03"
"*03aq2*",5,10,58,"F","Jerami Grant","POR","Markelle magic","Oct 5, 2023 6:22:21"
"*042n1*",5,11,59,"F","Brandon Ingram","NO","Harbalibir","Oct 5, 2023 6:38:07"
"*027p0*",5,12,60,"C","Nikola Vucevic","CHI","Vucci mane","Oct 5, 2023 7:07:44"
"*04ewr*",6,1,61,"F","Kyle Kuzma","WAS","Vucci mane","Oct 5, 2023 7:08:09"
"*05uiq*",6,2,62,"C","Alperen Sengun","HOU","Harbalibir","Oct 5, 2023 7:26:24"
"*06211*",6,3,63,"F","Chet Holmgren","OKC","Markelle magic","Oct 5, 2023 10:07:51"
"*05qtr*",6,4,64,"G","Devin Vassell","SA","New Team 28","Oct 5, 2023 12:17:01"
"*02xg9*",6,5,65,"C","Rudy Gobert","MIN","Bad Habits","Oct 5, 2023 12:17:03"
"*04ewn*",6,6,66,"F","OG Anunoby","TOR","Jitters & Tingles","Oct 5, 2023 12:30:28"
"*04qs1*",6,7,67,"G","Anfernee Simons","POR","Billsville Trojans 2","Oct 5, 2023 1:25:04"
"*06cdn*",6,8,68,"G","Scoot Henderson","POR","Dino’s Destroyers","Oct 5, 2023 1:26:31"
"*01eo9*",6,9,69,"G","Jrue Holiday","BOS","Miller time","Oct 5, 2023 1:42:14"
"*0621b*",6,10,70,"G","Jalen Williams","OKC","Regular team","Oct 5, 2023 1:45:39"
"*04ewm*",6,11,71,"C","Jarrett Allen","CLE","Redbull Wardell","Oct 5, 2023 1:54:26"
"*042n6*",6,12,72,"C","Jakob Poeltl","TOR","I Like Poeltls","Oct 5, 2023 3:47:00"
"*049s6*",7,1,73,"G","Markelle Fultz","ORL","I Like Poeltls","Oct 5, 2023 3:47:05"
"*051ot*",7,2,74,"G","Tyler Herro","MIA","Redbull Wardell","Oct 5, 2023 4:04:20"
"*051or*",7,3,75,"F","Cameron Johnson","BKN","Regular team","Oct 5, 2023 4:11:59"
"*0017e*",7,4,76,"G","Chris Paul","GS","Miller time","Oct 5, 2023 4:23:49"
"*031lx*",7,5,77,"G","CJ McCollum","NO","Dino’s Destroyers","Oct 5, 2023 5:07:13"
"*03nwl*",7,6,78,"G","Terry Rozier","CHA","Billsville Trojans 2","Oct 5, 2023 8:19:56"
"*04ewk*",7,7,79,"F","John Collins","UTA","Jitters & Tingles","Oct 5, 2023 11:20:47"
"*02ng3*",7,8,80,"F","Khris Middleton","MIL","Bad Habits","Oct 5, 2023 11:21:01"
"*051pi*",7,9,81,"F","Daniel Gafford","WAS","New Team 28","Oct 6, 2023 4:56:11"
"*04qrl*",7,10,82,"C","Wendell Carter","ORL","Markelle magic","Oct 6, 2023 4:57:06"
"*027ou*",7,11,83,"G","Klay Thompson","GS","Harbalibir","Oct 6, 2023 9:01:56"
"*03ad0*",7,12,84,"G","Tyus Jones","WAS","Vucci mane","Oct 6, 2023 9:11:13"
"*04qrp*",8,1,85,"F","Miles Bridges","CHA","Vucci mane","Oct 6, 2023 9:11:20"
"*03e6s*",8,2,86,"C","Clint Capela","ATL","Harbalibir","Oct 6, 2023 9:37:11"
"*03lg1*",8,3,87,"G","Ben Simmons","BKN","Markelle magic","Oct 6, 2023 11:04:21"
"*05uus*",8,4,88,"G","Austin Reaves","LAL","New Team 28","Oct 6, 2023 11:26:07"
"*05qtq*",8,5,89,"G","Tre Jones","SA","Bad Habits","Oct 6, 2023 11:26:08"
"*0621c*",8,6,90,"C","Jalen Duren","DET","Jitters & Tingles","Oct 6, 2023 1:32:07"
"*02ym0*",8,7,91,"F","Andrew Wiggins","GS","Billsville Trojans 2","Oct 6, 2023 4:09:15"
"*0621e*",8,8,92,"C","Mark Williams","CHA","Dino’s Destroyers","Oct 6, 2023 4:09:16"
"*05qtt*",8,9,93,"C","Onyeka Okongwu","ATL","Miller time","Oct 6, 2023 4:20:54"
"*05uic*",8,10,94,"G","Jalen Green","HOU","Regular team","Oct 6, 2023 4:23:51"
"*03e74*",8,11,95,"G","Spencer Dinwiddie","BKN","Redbull Wardell","Oct 6, 2023 4:45:49"
"*06212*",8,12,96,"F","Jabari Smith","HOU","I Like Poeltls","Oct 6, 2023 10:54:49"
"*04ewc*",9,1,97,"F","Zach Collins","SA","I Like Poeltls","Oct 6, 2023 10:55:39"
"*005kc*",9,2,98,"G","Russell Westbrook","LAC","Redbull Wardell","Oct 6, 2023 10:55:41"
"*03al1*",9,3,99,"G","Marcus Smart","MEM","Regular team","Oct 6, 2023 11:26:51"
"*06213*",9,4,100,"F","Keegan Murray","SAC","Miller time","Oct 6, 2023 11:26:52"
"*04qrr*",9,5,101,"F","Michael Porter","DEN","Dino’s Destroyers","Oct 7, 2023 12:39:28"
"*027p4*",9,6,102,"F","Tobias Harris","PHI","Billsville Trojans 2","Oct 7, 2023 7:40:19"
"*04qsj*",9,7,103,"G","Bruce Brown","IND","Jitters & Tingles","Oct 7, 2023 7:40:21"
"*03al0*",9,8,104,"F","Aaron Gordon","DEN","Bad Habits","Oct 7, 2023 7:40:24"
"*02nfz*",9,9,105,"F","Draymond Green","GS","New Team 28","Oct 7, 2023 8:16:13"
"*005ki*",9,10,106,"C","Brook Lopez","MIL","Markelle magic","Oct 7, 2023 9:36:15"
"*03ad4*",9,11,107,"G","D'Angelo Russell","LAL","Harbalibir","Oct 7, 2023 9:41:22"
"*06214*",9,12,108,"G","Jaden Ivey","DET","Vucci mane","Oct 7, 2023 9:57:02"
"*051p9*",10,1,109,"F","Keldon Johnson","SA","Vucci mane","Oct 7, 2023 9:57:13"
"*027oo*",10,2,110,"C","Jonas Valanciunas","NO","Harbalibir","Oct 7, 2023 1:25:18"
"*04ewt*",10,3,111,"G","Derrick White","BOS","Markelle magic","Oct 7, 2023 2:13:45"
"*06ccf*",10,4,112,"F","Ausar Thompson","DET","New Team 28","Oct 7, 2023 3:38:48"
"*031lz*",10,5,113,"C","Steven Adams","MEM","Bad Habits","Oct 7, 2023 3:38:49"
"*06216*",10,6,114,"G","Shaedon Sharpe","POR","Jitters & Tingles","Oct 7, 2023 3:51:47"
"*03e6n*",10,7,115,"C","Jusuf Nurkic","PHO","Billsville Trojans 2","Oct 7, 2023 4:44:40"
"*042nt*",10,8,116,"C","Ivica Zubac","LAC","Dino’s Destroyers","Oct 7, 2023 5:06:06"
"*05qu9*",10,9,117,"G","Immanuel Quickley","NY","Miller time","Oct 7, 2023 5:06:07"
"*042n3*",10,10,118,"G","Buddy Hield","IND","Regular team","Oct 7, 2023 5:13:42"
"*05qt0*",10,11,119,"F","Saddiq Bey","ATL","Redbull Wardell","Oct 7, 2023 5:16:38"
"*05qst*",10,12,120,"F","Paul Reed","PHI","I Like Poeltls","Oct 7, 2023 9:13:54"
"*04qsd*",11,1,121,"C","Mitchell Robinson","NY","I Like Poeltls","Oct 7, 2023 9:15:38"
"*0015e*",11,2,122,"G","Mike Conley","MIN","Redbull Wardell","Oct 7, 2023 9:15:39"
"*04qse*",11,3,123,"G","Gary Trent","TOR","Regular team","Oct 7, 2023 9:34:39"
"*06215*",11,4,124,"G","Bennedict Mathurin","IND","Miller time","Oct 7, 2023 9:34:41"
