Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
Nikola Jokic,DEN,C,1.6,2.06,1.94,1.2,1.3,-,64.55,,,21
Giannis Antetokounmpo,MIL,F,3.7,3.02,3,6.5,2.1,-,62.38,,,21
Luka Doncic,DAL,G,3.6,4.23,1.65,5.5,3.2,-,61.74,,,21
James Harden,PHI,G,5.9,4.52,3.87,11.5,3.7,-,61.23,,,21
Damian Lillard,POR,G,10.4,6.65,10.11,16.1,8.7,-,55.99,,,21
Bradley Beal,PHO,G,15,10.02,11.71,22.8,15.5,-,49.77,,,21
Karl-Anthony Towns,MIN,C,8.1,10.19,9.25,7,6,-,50.11,,,21
LeBron James,LAL,F,12,11.01,10.49,12.8,13.8,-,54.74,,,21
Stephen Curry,GSW,G,8.4,12.15,7.64,6.3,7.6,-,47.67,,,21
Joel Embiid,PHI,C,9,13.07,7.52,5.1,10.3,-,51.46,,,21
Nikola Vucevic,CHI,C,23.5,14.19,18.9,38.4,22.7,-,47.39,,,21
Trae Young,ATL,G,10.8,15.44,11.03,4.2,12.5,-,43.5,,,21
Jayson Tatum,BOS,F,11.5,15.53,14.25,8.8,7.4,-,41.9,,,21
Kevin Durant,PHO,F,8.7,16.51,8.95,2.9,6.3,-,45.37,,,21
Zach LaVine,CHI,G,26.5,16.7,21.7,40.8,26.7,-,42.73,,,21
Kawhi Leonard,LAC,F,57.4,17.91,83.12,17.9,110.7,-,36.95,,,21
Zion Williamson,NOP,F,25.7,18.03,20.66,41.2,23,-,39.62,,,21
Paul George,LAC,G,17.7,19.66,20.03,20.3,11,-,39.19,,,21
Ben Simmons,BKN,F,48.8,19.87,44.71,88.1,42.4,-,40.16,,,21
Jimmy Butler,MIA,F,23.4,20.27,28.12,18.5,26.6,-,37.63,,,21
Kyrie Irving,DAL,G,47.3,23.26,76.09,13.8,76.1,-,32.07,,,21
Bam Adebayo,MIA,C,23.9,25.01,25.89,22.9,21.6,-,29.88,,,21
Chris Paul,GSW,G,37.4,26.65,46.3,32.4,44.1,-,29.71,,,21
Brandon Ingram,NOP,F,35.4,26.9,33.84,51.1,29.9,-,26.96,,,21
Domantas Sabonis,SAC,C,20.3,27.19,13.67,24.6,15.7,-,26.64,,,21
Julius Randle,NYK,F,29.9,28.34,21,53.8,16.5,-,25.55,,,21
Rudy Gobert,MIN,C,30.2,29.6,31.99,29.2,29.9,-,24.97,,,21
Shai Gilgeous-Alexander,OKC,G,31.7,30.43,39.3,26.3,30.6,-,36.41,,,21
Russell Westbrook,LAC,G,34.1,30.68,15.17,76.1,14.4,-,19.75,,,21
Devin Booker,PHO,G,25.4,31.91,24.35,21.3,24.2,-,19.02,,,21
DeMar DeRozan,CHI,F,36.1,32.37,40.72,29.7,41.5,-,21.59,,,21
De'Aaron Fox,SAC,G,31,32.68,25.49,45.9,19.9,-,22.54,,,21
