date,a,b,c,d,e,a_sum,b_sum,c_sum,d_sum,e_sum,a_mean,b_mean,c_mean,d_mean,e_mean,a_median,b_median,c_median,d_median,e_median,a_min,b_min,c_min,d_min,e_min,a_max,b_max,c_max,d_max,e_max
"September 26, 2022",52,70.0,97.0,,,52.0,70.0,97.0,,,52.0,70.0,97.0,,,52.0,70.0,97.0,,,52.0,70.0,97.0,,,52.0,70.0,97.0,,
"September 27, 2022",37,61.0,36.0,,,89.0,131.0,133.0,,,44.5,65.5,66.5,,,44.5,65.5,66.5,,,37.0,61.0,36.0,,,52.0,70.0,97.0,,
"September 28, 2022",40,56.0,32.0,,,129.0,187.0,165.0,,,43.0,62.333333333333336,55.0,,,40.0,61.0,36.0,,,37.0,56.0,32.0,,,52.0,70.0,97.0,,
"September 29, 2022",67,68.0,87.0,,,196.0,255.0,252.0,,,49.0,63.75,63.0,,,46.0,64.5,61.5,,,37.0,56.0,32.0,,,67.0,70.0,97.0,,
"October 1, 2022",507,253.0,211.0,,,703.0,508.0,463.0,,,140.6,101.6,92.6,,,52.0,68.0,87.0,,,37.0,56.0,32.0,,,507.0,253.0,211.0,,
"October 3, 2022",54,38.0,65.0,,,757.0,546.0,528.0,,,126.16666666666667,91.0,88.0,,,53.0,64.5,76.0,,,37.0,38.0,32.0,,,507.0,253.0,211.0,,
"October 4, 2022",41,101.0,109.0,,,798.0,647.0,637.0,,,114.0,92.42857142857143,91.0,,,52.0,68.0,87.0,,,37.0,38.0,32.0,,,507.0,253.0,211.0,,
"October 6, 2022",35,62.0,24.0,,,833.0,709.0,661.0,,,104.125,88.625,82.625,,,46.5,65.0,76.0,,,35.0,38.0,24.0,,,507.0,253.0,211.0,,
"October 10, 2022",248,80.0,64.0,,,1081.0,789.0,725.0,,,120.11111111111111,87.66666666666667,80.55555555555556,,,52.0,68.0,65.0,,,35.0,38.0,24.0,,,507.0,253.0,211.0,,
"October 11, 2022",49,69.0,77.0,,,1130.0,858.0,802.0,,,113.0,85.8,80.2,,,50.5,68.5,71.0,,,35.0,38.0,24.0,,,507.0,253.0,211.0,,
"October 12, 2022",80,67.0,133.0,766.0,,1210.0,925.0,935.0,766.0,,110.0,84.0909090909091,85.0,766.0,,52.0,68.0,77.0,766.0,,35.0,38.0,24.0,766.0,,507.0,253.0,211.0,766.0,
"October 17, 2022",105,189.0,280.0,,,1315.0,1114.0,1215.0,766.0,,109.58333333333333,92.83333333333333,101.25,766.0,,53.0,68.5,82.0,766.0,,35.0,38.0,24.0,766.0,,507.0,253.0,280.0,766.0,
"October 18, 2022",144,54.0,83.0,,,1459.0,1168.0,1298.0,766.0,,112.23076923076923,89.84615384615384,99.84615384615384,766.0,,54.0,68.0,83.0,766.0,,35.0,38.0,24.0,766.0,,507.0,253.0,280.0,766.0,
"October 20, 2022",74,46.0,58.0,,,1533.0,1214.0,1356.0,766.0,,109.5,86.71428571428571,96.85714285714286,766.0,,60.5,67.5,80.0,766.0,,35.0,38.0,24.0,766.0,,507.0,253.0,280.0,766.0,
"October 21, 2022",47,59.0,51.0,,,1580.0,1273.0,1407.0,766.0,,105.33333333333333,84.86666666666666,93.8,766.0,,54.0,67.0,77.0,766.0,,35.0,38.0,24.0,766.0,,507.0,253.0,280.0,766.0,
"October 23, 2022",57,38.0,,75.0,,1637.0,1311.0,1407.0,841.0,,102.3125,81.9375,93.8,420.5,,55.5,64.5,77.0,420.5,,35.0,38.0,24.0,75.0,,507.0,253.0,280.0,766.0,
"October 25, 2022",84,72.0,53.0,,,1721.0,1383.0,1460.0,841.0,,101.23529411764706,81.3529411764706,91.25,420.5,,57.0,67.0,71.0,420.5,,35.0,38.0,24.0,75.0,,507.0,253.0,280.0,766.0,
"October 26, 2022",47,36.0,,,,1768.0,1419.0,1460.0,841.0,,98.22222222222223,78.83333333333333,91.25,420.5,,55.5,64.5,71.0,420.5,,35.0,36.0,24.0,75.0,,507.0,253.0,280.0,766.0,
"October 27, 2022",45,91.0,41.0,,,1813.0,1510.0,1501.0,841.0,,95.42105263157895,79.47368421052632,88.29411764705883,420.5,,54.0,67.0,65.0,420.5,,35.0,36.0,24.0,75.0,,507.0,253.0,280.0,766.0,
