date,gnome,andyvo,speckled mug,jack-o-pie,megh
"September 26, 2022",52,70,97,,
"September 27, 2022",37,61,36,,
"September 28, 2022",40,56,32,,
"September 29, 2022",67,68,87,,
"October 1, 2022",507,253,211,,
"October 3, 2022",54,38,65,,
"October 4, 2022",41,101,109,,
"October 6, 2022",35,62,24,,
"October 10, 2022",248,80,64,,
"October 11, 2022",49,69,77,,
"October 12, 2022",80,67,133,766,
"October 17, 2022",105,189,280,,
"October 18, 2022",144,54,83,,
"October 20, 2022",74,46,58,,
"October 21, 2022",47,59,51,,
"October 23, 2022",57,38,,75,
"October 25, 2022",84,72,53,,
"October 26, 2022",47,36,,,
"October 27, 2022",45,91,41,,
"October 28, 2022",126,111,,,
"October 30, 2022",25,54,,,
"October 31, 2022",169,77,,,
"November 1, 2022",61,43,57,,
"November 2, 2022",51,70,63,,
"November 3, 2022",42,55,47,,
"November 4, 2022",58,51,60,,
"November 5, 2022",133,178,165,,
"November 6, 2022",61,58,51,,
"November 7, 2022",81,56,33,,
"November 8, 2022",22,38,31,,
"November 9, 2022",57,51,72,,
"November 10, 2022",23,56,44,,
"November 11, 2022",74,41,61,,
"November 12, 2022",59,108,65,,
"November 13, 2022",42,43,37,,
"November 14, 2022",67,60,139,,
"November 15, 2022",60,38,91,,
"November 16, 2022",57,55,239,,
"November 17, 2022",61,91,47,,
"November 18, 2022",42,,31,,
"November 19, 2022",69,139,,,
"November 20, 2022",35,41,72,,
"November 21, 2022",136,63,182,,
"November 22, 2022",30,63,70,,
"November 23, 2022",59,43,71,,
"November 24, 2022",62,59,36,158,
"November 26, 2022",114,,152,,
"November 27, 2022",57,49,,,
"November 28, 2022",86,67,,,
"November 29, 2022",88,57,165,,
"November 30, 2022",253,72,,,
"December 1, 2022",43,61,22,,
"December 2, 2022",50,98,,,
"December 3, 2022",126,154,107,,
"December 4, 2022",50,67,,,
"December 5, 2022",46,67,89,,
"December 6, 2022",43,63,,77,
"December 7, 2022",61,43,77,,
"December 8, 2022",83,34,39,,
"December 9, 2022",40,43,,,
"December 10, 2022",93,89,,,
"December 11, 2022",40,43,,62,
"December 13, 2022",26,22,40,,
"December 14, 2022",41,42,,,
"December 16, 2022",50,62,,,
"December 17, 2022",65,116,83,,
"December 18, 2022",46,72,56,,
"December 19, 2022",86,115,39,195,
"December 21, 2022",24,74,28,44,
"December 23, 2022",37,43,62,,
"December 25, 2022",41,55,57,92,
"December 26, 2022",42,43,22,48,
"December 28, 2022",71,54,160,304,
"December 30, 2022",66,74,75,298,
"December 31, 2022",121,118,80,,
"January 2, 2023",71,106,,59,
"January 4, 2023",39,47,21,38,
"January 5, 2023",55,74,,54,
"January 6, 2023",73,88,,78,
"January 7, 2023",115,156,167,,
"January 9, 2023",52,59,55,117,
"January 10, 2023",91,47,25,125,
"January 11, 2023",50,33,45,42,
"January 12, 2023",40,54,52,47,
"January 13, 2023",49,50,37,45,
"January 14, 2023",82,127,171,149,
"January 15, 2023",41,37,44,47,
"January 17, 2023",36,156,64,120,
"January 19, 2023",48,55,,120,
"January 20, 2023",28,50,27,51,
"January 21, 2023",116,151,78,151,
"January 22, 2023",28,27,,31,
"January 23, 2023",125,85,,137,
"January 26, 2023",42,24,35,90,
"January 28, 2023",58,133,,113,
"January 29, 2023",30,,,95,
"January 30, 2023",29,61,,82,
"January 31, 2023",46,51,,,
"February 1, 2023",78,50,86,77,
"February 2, 2023",62,53,42,70,
"February 3, 2023",90,40,100,77,
"February 5, 2023",176,84,,180,
"February 6, 2023",53,54,56,35,
"February 7, 2023",61,55,143,62,
"February 8, 2023",28,30,21,47,
"February 12, 2023",57,40,179,35,
"February 17, 2023",44,,,75,
"February 17, 2023",44,,104,75,
"February 19, 2023",106,53,,110,
"February 22, 2023",77,,42,211,198
"February 24, 2023",26,,35,45,40
"February 26, 2023",104,,44,200,76
"February 27, 2023",39,102,32,48,
"March 1, 2023",152,28,,92,
"March 2, 2023",49,86,83,126,114
"March 3, 2023",58,,93,117,
"March 7, 2023",51,,49,70,126
"March 10, 2023",27,,63,133,105
"March 12, 2023",65,152,,291,127
"March 14, 2023",34,43,29,72,120
"March 15, 2023",21,49,79,58,
"March 16, 2023",50,,,34,40
"March 17, 2023",65,,44,55,59
"March 19, 2023",21,,32,183,
"March 21, 2023",119,,,315,
"March 23, 2023",30,,,38,
"March 24, 2023",25,,,67,
"March 26, 2023",33,,56,61,
"March 27, 2023",43,,35,40,
"March 28, 2023",90,217,41,145,
"March 29, 2023",49,47,,49,
"March 30, 2023",48,,59,131,
"March 31, 2023",45,,,115,
"April 3, 2023",43,,37,50,
"April 6, 2023",74,,39,158,
"April 7, 2023",80,106,39,323,66
"April 9, 2023",38,,,49,
"April 10, 2023",32,,36,31,
"April 11, 2023",46,,294,235,
"April 12, 2023",51,,,117,
"April 13, 2023",42,,65,69,
"April 17, 2023",34,,42,137,
"April 21, 2023",106,,,119,
"April 25, 2023",45,,,185,33
"April 26, 2023",161,,,205,131
"April 27, 2023",55,,59,104,
"April 29, 2023",69,,53,91,
"May 2, 2023",51,,47,56,
"May 3, 2023",43,,48,54,146
"May 4, 2023",28,,,49,
"May 5, 2023",136,,,234,
"May 6, 2023",98,,,229,
"May 8, 2023",46,,,30,
"May 9, 2023",20,,,34,
"May 10, 2023",38,,,125,
"May 15, 2023",28,,,36,
"May 16, 2023",28,,53,119,
"May 17, 2023",50,,,39,
"May 18, 2023",51,,37,189,
"May 20, 2023",59,,,48,
