,School/Club Team
UCLA (Sr.),47
North Carolina (Sr.),44
Kansas (Sr.),41
Duke (Sr.),39
Kentucky (Sr.),36
Arizona (Sr.),36
Kentucky (Fr.),35
Marquette (Sr.),32
UNLV (Sr.),31
Maryland (Sr.),30
Michigan State (Sr.),30
Syracuse (Sr.),30
Indiana (Sr.),29
Michigan (Sr.),29
Louisville (Sr.),29
Missouri (Sr.),29
Iowa (Sr.),28
Georgetown (Sr.),28
Notre Dame (Sr.),28
St. John's (Sr.),27
NC State (Sr.),27
Duke (Fr.),27
Illinois (Sr.),26
Villanova (Sr.),25
Purdue (Sr.),24
Florida State (Sr.),23
Alabama (Sr.),22
Texas (Sr.),22
Oregon (Sr.),22
Oklahoma (Sr.),22
Washington (Sr.),22
Virginia (Sr.),21
Providence (Sr.),21
Georgia Tech (Sr.),19
Utah (Sr.),19
Tennessee (Sr.),19
DePaul (Sr.),19
Minnesota (Sr.),19
Arkansas (Sr.),19
Virginia Tech (Sr.),18
LSU (Sr.),18
Clemson (Sr.),18
Stanford (Sr.),18
Arizona State (Sr.),18
Houston (Sr.),18
Iowa State (Sr.),17
Pepperdine (Sr.),17
South Carolina (Sr.),17
New Mexico (Sr.),17
Auburn (Sr.),16
North Carolina (Jr.),16
Cincinnati (Sr.),16
Colorado (Sr.),16
VCU (Sr.),16
Wake Forest (Sr.),16
Boston College (Sr.),16
Connecticut (Sr.),15
Oregon State (Sr.),15
Vanderbilt (Sr.),15
California (Sr.),15
Georgia (Sr.),15
UAB (Sr.),15
Florida (Sr.),15
Washington State (Sr.),15
Long Beach State (Sr.),15
Temple (Sr.),15
La Salle (Sr.),14
Rutgers (Sr.),14
Cal State Fullerton (Sr.),14
Pittsburgh (Sr.),14
Oklahoma State (Sr.),14
West Virginia (Sr.),13
Oral Roberts (Sr.),13
Texas Tech (Sr.),13
Seton Hall (Sr.),13
UTEP (Sr.),13
G League Ignite (NBA G League),13
San Diego State (Sr.),13
South Alabama (Sr.),13
USC (Sr.),13
Bradley (Sr.),13
Ohio State (Sr.),12
Kansas State (Sr.),12
Memphis (Sr.),12
Xavier (Sr.),12
Kansas (Jr.),12
Wisconsin (Sr.),12
Fresno State (Sr.),12
BYU (Sr.),12
FC Barcelona (Spain),12
Gonzaga (Sr.),12
Connecticut (Jr.),12
Creighton (Sr.),11
Saint Joseph's (Sr.),11
Wyoming (Sr.),11
Illinois State (Sr.),11
Mississippi State (Sr.),11
Baylor (Sr.),11
Kentucky (So.),11
UCLA (Fr.),11
Texas A&M (Sr.),10
Tulsa (Sr.),10
Southern (Sr.),10
Kansas (Fr.),10
Dayton (Sr.),9
Arizona (Fr.),9
Northwestern (Sr.),9
Texas (Fr.),9
St. Bonaventure (Sr.),9
UC Irvine (Sr.),9
Southwestern Louisiana (Sr.),9
Michigan (So.),9
Holy Cross (Sr.),9
LSU (So.),9
Western Kentucky (Sr.),9
UCLA (So.),9
Weber State (Sr.),9
Lamar (Sr.),9
UCLA (Jr.),9
Idaho State (Sr.),9
Santa Clara (Sr.),9
Hofstra (Sr.),9
Old Dominion (Sr.),9
Nebraska (Sr.),9
Michigan (Jr.),9
Murray State (Sr.),8
Princeton (Sr.),8
Jackson State (Sr.),8
Eastern Michigan (Sr.),8
South Florida (Sr.),8
Memphis (Fr.),8
San Francisco (Sr.),8
Utah State (Sr.),8
Maryland (So.),8
Wichita State (Sr.),8
Real Madrid (Spain),8
Nevada (Sr.),8
Richmond (Sr.),8
Arizona (So.),8
Duke (So.),8
Colorado State (Sr.),8
Tulane (Sr.),8
New Orleans (Sr.),8
Ohio State (Fr.),8
Charlotte (Sr.),8
Loyola Marymount (Sr.),7
Chattanooga (Sr.),7
Detroit (Sr.),7
USC (Jr.),7
Louisville (Jr.),7
Bowling Green (Sr.),7
Pacific (Sr.),7
Kentucky (Jr.),7
Ohio State (Jr.),7
New Mexico State (Sr.),7
Washington (Fr.),7
North Carolina (Fr.),7
Partizan Belgrade (Serbia),7
Indiana (So.),7
Miami (Sr.),7
